"wikidataId","fullName","birthDate","birthPlace","deathDate","deathPlace","height","weight","positions"
"Q207","George W. Bush","1946-07-06","United States; Connecticut; New Haven",NA,"United States; Connecticut; New Haven",NA,NA,NA
"Q12940","Jacques Chaban-Delmas","1915-03-07","France; Paris","2000-11-10","France; Paris",NA,NA,NA
"Q26037","Quade Cooper","1988-04-05","New Zealand; Auckland",NA,"New Zealand; Auckland",182,90,"Fly-Half; Fullback"
"Q31193","Ben Smith","1986-06-01","New Zealand; Dunedin",NA,"New Zealand; Dunedin",182,88,"Outside Centre; Fullback"
"Q46171","Pekahou Cowan","1986-06-02","New Zealand; Wellington",NA,"New Zealand; Wellington",183,118,"Prop; Hooker"
"Q72185","Manu Tuilagi","1991-05-18","Samoa; Savaiʻi",NA,"Samoa; Savaiʻi",185,110,"Centre"
"Q106775","Richard Harris","1930-10-01","Irish Free State; Limerick","2002-10-25","Irish Free State; Limerick",185,NA,NA
"Q113526","Adriaan Strauss","1985-11-18","Bloemfontein",NA,"Bloemfontein",185,113,"Hooker"
"Q127613","Patrick Lambie","1990-10-17","Durban",NA,"Durban",177,88,"Fly-Half; Centre; Fullback"
"Q134895","Javier Bardem","1969-03-01","Francoist Spain; Canary Islands; Las Palmas",NA,"Francoist Spain; Canary Islands; Las Palmas",181,NA,NA
"Q138722","Stephen Donald","1983-12-03","New Zealand",NA,"New Zealand",186,96,"Fly-Half"
"Q147338","Morris Kirksey",NA,NA,NA,NA,NA,NA,NA
"Q151533","Sam Whitelock","1988-10-12","New Zealand; Palmerston North",NA,"New Zealand; Palmerston North",202,120,"Lock"
"Q151572","Victor Vito","1987-03-27","New Zealand; Wellington",NA,"New Zealand; Wellington",193,112,"Flanker; Number 8"
"Q166094","Zane Kirchner","1984-06-16","South Africa; Western Cape; George",NA,"South Africa; Western Cape; George",186,94,"Winger; Centre; Fullback"
"Q168675","Francois Pienaar","1967-01-02","South Africa; Gauteng; Vereeniging; NA",NA,"South Africa; Gauteng; Vereeniging; NA",191,108,"Flanker"
"Q172174","Guy Ligier","1930-07-12","Vichy","2015-08-23","Vichy",NA,NA,NA
"Q181263","François Steyn","1987-05-14","South Africa; Eastern Cape; Aliwal North",NA,"South Africa; Eastern Cape; NA",191,100,"Fly-Half; Centre; Fullback"
"Q182609","Jacques Rogge","1942-05-02","Belgium; Ghent",NA,"Belgium; Ghent",NA,NA,NA
"Q188309","Sergio Parisse","1983-09-12","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",196,112,"Number 8"
