"wikidataId","fullName","jaName","birthDate","birthPlace","deathDate","deathPlace","height","weight","positions"
"Q207","George W. Bush",NA,"1946-07-06","United States; Connecticut; New Haven",NA,NA,NA,NA,NA
"Q12940","Jacques Chaban-Delmas",NA,"1915-03-07","France; Paris","2000-11-10","France; Paris",NA,NA,NA
"Q26037","Quade Cooper","クウェイド・クーパー","1988-04-05","New Zealand; Auckland",NA,NA,182,90,"Fly-Half; Fullback"
"Q31193","Ben Smith","ベン・スミス","1986-06-01","New Zealand; Dunedin",NA,NA,182,88,"Outside Centre; Fullback"
"Q46171","Pekahou Cowan","ペッカフォウ・カーワン","1986-06-02","New Zealand; Wellington",NA,NA,183,118,"Prop; Hooker"
"Q72185","Manu Tuilagi","マヌ・トゥイランギ","1991-05-18","Samoa; Savaiʻi",NA,NA,185,110,"Centre"
"Q106775","Richard Harris",NA,"1930-10-01","Irish Free State; Limerick","2002-10-25","England; London",185,NA,NA
"Q113526","Adriaan Strauss","アドリアン・ストラウス","1985-11-18","Bloemfontein",NA,NA,185,113,"Hooker"
"Q127613","Patrick Lambie","パトリック・ランビー","1990-10-17","Durban",NA,NA,177,88,"Fly-Half; Centre; Fullback"
"Q134895","Javier Bardem",NA,"1969-03-01","Francoist Spain; Canary Islands; Las Palmas",NA,NA,181,NA,NA
"Q138722","Stephen Donald","スティーブン・ドナルド","1983-12-03","New Zealand",NA,NA,186,96,"Fly-Half"
"Q147338","Morris Kirksey",NA,NA,NA,NA,NA,NA,NA,NA
"Q151533","Sam Whitelock","サム ホワイトロック","1988-10-12","New Zealand; Palmerston North",NA,NA,202,120,"Lock"
"Q151572","Victor Vito","ヴィクター・ヴィト","1987-03-27","New Zealand; Wellington",NA,NA,193,112,"Flanker; Number 8"
"Q166094","Zane Kirchner","ザイン・カーシュナー","1984-06-16","South Africa; Western Cape; George",NA,NA,186,94,"Winger; Centre; Fullback"
"Q168675","Francois Pienaar","フランソワ・ピナール","1967-01-02","South Africa; Gauteng; Vereeniging; NA",NA,NA,191,108,"Flanker"
"Q172174","Guy Ligier",NA,"1930-07-12","Vichy","2015-08-23",NA,NA,NA,NA
"Q181263","François Steyn","フランソワ・ステイン","1987-05-14","South Africa; Eastern Cape; Aliwal North",NA,NA,191,100,"Fly-Half; Centre; Fullback"
"Q182609","Jacques Rogge",NA,"1942-05-02","Belgium; Ghent",NA,NA,NA,NA,NA
"Q188309","Sergio Parisse","セルジオ・パリセ","1983-09-12","Argentina; Buenos Aires",NA,NA,196,112,"Number 8"
"Q200427","Dimitri Szarzewski","ディミトリ・ザルゼウスキ","1983-01-26","France; Narbonne",NA,NA,180,105,"Hooker"
"Q207709","Roland Garros",NA,NA,NA,NA,NA,NA,NA,NA
"Q209365","Richie Gray","リッチー・グレイ","1989-08-24","Scotland; Glasgow",NA,NA,204,123,"Lock"
"Q221074","Bud Spencer",NA,"1929-10-31","Kingdom of Italy; Naples","2016-06-27","Italy; Rome",NA,NA,NA
"Q261702","Sunia Koto","スニア・コト","1980-04-15","Suva",NA,NA,174,113,"Hooker"
"Q276102","Jean de Villiers","ジャン・デヴィリアス","1981-02-24","South Africa; Paarl",NA,NA,190,103,"Winger; Centre"
"Q284846","Schalk Willem Petrus Burger","スカルク・バーガー","1983-04-13","South Africa; Eastern Cape; Gqeberha",NA,NA,193,114,"Number 8; Flanker"
"Q286258","Yannick Jauzion","ヤニック・ジョジオン","1978-07-28","France; Castres",NA,NA,193,101,"Centre"
"Q287936","Joe Launchbury","ジョー・ローンチブリー","1991-04-12","England; Devon; Exeter",NA,NA,196,126,"Lock"
"Q316676","Mariusz Pudzianowski",NA,"1977-02-07","Poland; Łódź Voivodeship",NA,NA,186,130,NA
"Q317422","Eric Liddell",NA,"1902-01-16","Qing dynasty; Tianjin","1945-02-21","Wang Jingwei regime; Shandong Province; Weifang",173,68,NA
"Q318920","Jonny Wilkinson","ジョニー・ウィルキンソンCBE","1979-05-25","England; Surrey",NA,NA,178,89,"Fly-Half; Inside Centre"
