"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"286","Q1621334","Bermuda national rugby union team","national rugby union team","1975-01-01",NA,"Seleccion de rugby de Bermudas; Equipe des Bermudes de rugby a XV; Nazionale di rugby a 15 di Bermuda; Nazionale di rugby XV delle Bermuda",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Bermuda_national_rugby_union_team","%C3%89quipe_des_Bermudes_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Bermuda","Selecci%C3%B3n_de_rugby_de_Bermudas",NA,NA
"287","Q1621341","Bahamas national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de Bahamas; Equipe des Bahamas de rugby a XV; Nazionale di rugby XV delle Bahamas",NA,"Bahamas",NA,NA,NA,NA,NA,NA,NA,"Bahamas_national_rugby_union_team","%C3%89quipe_des_Bahamas_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Bahamas","Selecci%C3%B3n_de_rugby_de_Bahamas",NA,NA
"288","Q1621555","Cayman Islands national rugby union team","national rugby union team",NA,NA,"Nazionale di rugby XV delle Isole Cayman",NA,"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,"Cayman_Islands_national_rugby_union_team","%C3%89quipe_des_%C3%AEles_Ca%C3%AFmans_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Isole_Cayman","Selecci%C3%B3n_de_rugby_de_las_Islas_Caim%C3%A1n",NA,NA
"289","Q1621574","Costa Rica national rugby union team","national rugby union team",NA,NA,"Los Guarias; Seleccion de rugby de Costa Rica; Nazionale di rugby XV della Costa Rica; Seleção Costarriquenha de Râguebi",NA,"Costa Rica",NA,NA,NA,NA,NA,NA,NA,"Costa_Rica_national_rugby_union_team","%C3%89quipe_du_Costa_Rica_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Costa_Rica","Selecci%C3%B3n_de_rugby_de_Costa_Rica",NA,NA
"290","Q1621823","Estonia national rugby union team","national rugby union team",NA,NA,"Nazionale di rugby XV dell'Estonia",NA,"Estonia",NA,NA,NA,NA,NA,NA,NA,"Estonia_national_rugby_union_team","%C3%89quipe_d%27Estonie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Estonia",NA,NA,"http://dbpedia.org/resource/Estonia_national_rugby_union_team"
"291","Q1622110","RC Rottweil","rugby union team","1970-01-01",NA,"Rugby-Club Rottweil e. V.",NA,"Germany",NA,NA,NA,NA,"Rottweil",NA,NA,"RC_Rottweil",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Rottweil"
"292","Q1622363","San Marino national rugby union team","national rugby union team",NA,NA,"Équipe de Saint Marin de rugby à XV; Nazionale di rugby XV di San Marino",NA,"San Marino",NA,NA,NA,NA,NA,NA,NA,"San_Marino_national_rugby_union_team","%C3%89quipe_de_Saint-Marin_de_rugby_%C3%A0_XV",NA,NA,NA,NA
"293","Q1622658","Mauritius national rugby union team","national rugby union team",NA,NA,"Equipe de la Republique de Maurice de rugby a XV; Équipe de la république de maurice de rugby à xv; Nazionale di rugby a 15 delle Mauritius; Nazionale di rugby XV delle Mauritius",NA,"Mauritius",NA,NA,NA,NA,NA,NA,NA,"Mauritius_national_rugby_union_team","%C3%89quipe_de_Maurice_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Mauritius","Selecci%C3%B3n_de_rugby_de_Mauricio",NA,NA
"294","Q1622752","German Democratic Republic national rugby union team","national rugby union team","1951-10-21","1990-09-15","Nazionale di rugby XV della Germania dell'Est; Reprezentacja Niemieckiej Republiki Demokratycznej w rugby mężczyzn; East Germany national rugby union team; East German National Team",NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"East_Germany_national_rugby_union_team","%C3%89quipe_d%27Allemagne_de_l%27Est_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Repubblica_Democratica_Tedesca","Selecci%C3%B3n_de_rugby_de_Alemania_Democr%C3%A1tica",NA,"http://dbpedia.org/resource/East_Germany_national_rugby_union_team"
"296","Q1632899","Barbados national rugby union team","national rugby union team",NA,NA,"Equipe de la Barbade de rugby a XV; Nazionale di rugby a 15 di Barbados; Nazionale di rugby XV delle Barbados; Nazionale di rugby XV di Barbados",NA,"Barbados",NA,NA,NA,NA,NA,NA,NA,"Barbados_national_rugby_union_team","%C3%89quipe_de_la_Barbade_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Barbados","Selecci%C3%B3n_de_rugby_de_Barbados",NA,NA
"297","Q1634037","El Salvador national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de El Salvador; Nazionale di rugby XV di El Salvador; (turquoise-browed motmots); Los Torogoces",NA,"El Salvador",NA,NA,NA,NA,NA,NA,NA,"El_Salvador_national_rugby_union_team","%C3%89quipe_du_Salvador_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_El_Salvador","Selecci%C3%B3n_de_rugby_de_El_Salvador",NA,"http://dbpedia.org/resource/El_Salvador_national_rugby_union_team"
"298","Q1634636","Qatar national rugby union team","national rugby union team",NA,NA,"Nazionale di rugby XV del Qatar",NA,"Qatar",NA,NA,NA,NA,NA,NA,NA,"Qatar_national_rugby_union_team","%C3%89quipe_du_Qatar_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Qatar",NA,NA,NA
"299","Q1634654","Catalonia national rugby union team","national rugby union team","1934-04-14",NA,"nazionale di rugby a 15 della catalogna; selezione di rugby XV della Catalogna; Reprezentacja Katalonii w rugby mężczyzn",NA,"Spain",NA,NA,"Camp Municipal de Rugby La Foixarda","800",NA,NA,NA,"Catalonia_national_rugby_union_team","%C3%89quipe_de_Catalogne_de_rugby_%C3%A0_XV","Selezione_maschile_di_rugby_a_15_della_Catalogna","Selecci%C3%B3n_de_rugby_de_Catalu%C3%B1a",NA,NA
"300","Q1634699","Jordan national rugby union team","national rugby union team",NA,NA,"Nazionale di rugby XV della Giordania",NA,"Jordan",NA,NA,NA,NA,NA,NA,NA,"Jordan_national_rugby_union_team","%C3%89quipe_de_Jordanie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Giordania",NA,NA,"http://dbpedia.org/resource/Jordan_national_rugby_union_team"
"301","Q1634826","Turkey national rugby union team","national rugby union team",NA,NA,"Nazionale di rugby XV della Turchia; Türkiye Milli Ragbi Birliği Takımı; Ay Yıldızlar (The Crescent Stars); Ay Yıldızlar",NA,"Turkey",NA,NA,NA,NA,NA,NA,NA,"Turkey_national_rugby_union_team","%C3%89quipe_de_Turquie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Turchia",NA,NA,"http://dbpedia.org/resource/Turkey_national_rugby_union_team"
"303","Q1661537","India national rugby union team","national rugby union team","1998-10-26",NA,"Seleccion de rugby de India; Equipe d'Inde de rugby a XV; Équipe d'inde de rugby à xv; Nazionale di rugby XV dell'India",NA,"India",NA,NA,NA,NA,NA,NA,NA,"India_men%27s_national_rugby_union_team","%C3%89quipe_d%27Inde_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27India",NA,NA,NA
"305","Q1675853","Ivory Coast national rugby union team","national rugby union team","1976-01-01",NA,"Ivoorkus nasionale rugbyspan; Ivoorkus se nasionale rugbyspan; Seleccion de rugby de Costa de Marfil; Seleccion nacional de rugby de Costa de Marfil; Selección nacional de rugby de Costa de Marfil; Equipe de Cote-d'Ivoire de rugby a XV; Équipe de côte-d'ivoire de rugby à xv; Sgioba naiseanta rugbaidh Cote d'Ivoire; nazionale di rugby XV della Costa d’Avorio; nazionale ivoriana di rugby; ru civ; კოტ-დ'ივუარის მორაგბეთა ეროვნული ნაკრები; Ivoriaans rugbyteam (mannen); Reprezentacja Wybrzeża Kości Słoniowej w rugby mężczyzn; Équipe de Côte d'Ivoire de rugby à XV; Сборная Кот-д'Ивуара по регби",NA,"Ivory Coast",NA,NA,NA,NA,NA,NA,NA,"Ivory_Coast_national_rugby_union_team","%C3%89quipe_de_C%C3%B4te_d%27Ivoire_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Costa_d%27Avorio","Selecci%C3%B3n_de_rugby_de_Costa_de_Marfil","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%88%E3%82%B8%E3%83%9C%E3%83%AF%E3%83%BC%E3%83%AB%E4%BB%A3%E8%A1%A8",NA
"306","Q1706623","RC Tigers","rugby union club",NA,NA,NA,NA,"Austria",NA,NA,NA,NA,NA,NA,"113qbn6ct",NA,NA,NA,NA,NA,NA
"311","Q1783262","Venezuela national national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de Venezuela; Equipe du Venezuela de rugby a XV; Équipe du Vénézuela de rugby à XV; Nazionale di rugby XV del Venezuela; ru ven; Seleção Venezuelana de Râguebi",NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,"Venezuela_national_rugby_union_team","%C3%89quipe_du_Venezuela_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Venezuela","Selecci%C3%B3n_de_rugby_de_Venezuela",NA,NA
"313","Q1816139","Czech Republic national rugby union team","national rugby union team",NA,NA,"Tjeggoslowakye nasionale rugbyspan; Tsjeggiese Republiek nasionale rugbyspan; Seleccion de rugby de Republica Checa; Seleccion de rugby de República Checa; Selección de rugby de Republica Checa; nazionale ceca di rugby; Nazionale di rugby XV della Repubblica Ceca; ru cze; Reprezentacja Czech w rugby mężczyzn",NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"Czech_Republic_national_rugby_union_team","%C3%89quipe_de_Tch%C3%A9quie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Repubblica_Ceca","Selecci%C3%B3n_de_rugby_de_la_Rep%C3%BAblica_Checa",NA,NA
"314","Q1842685","Bredase Rugby Club","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"122410x0",NA,NA,NA,NA,NA,NA
"317","Q1890136","Gent RFC","rugby union team","1969-01-01",NA,"Gent Rugby Football Club",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Gent_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Gent_RFC"
"318","Q1919652","Brussels Barbarians","rugby union team","1968-01-01",NA,"The Babas; Brussels Barbarians Rugby Football Club",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Brussels_Barbarians","Brussels_Barbarians_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Brussels_Barbarians"
"319","Q1943352","Moldova national rugby union team","national rugby union team",NA,NA,"Equipe de Moldavie de rugby a XV; Équipe de moldavie de rugby à xv; Nazionale di rugby XV della Moldavia; Reprezentacja Mołdawii w rugby mężczyzn",NA,"Moldova",NA,NA,NA,NA,NA,NA,NA,"Moldova_national_rugby_union_team","%C3%89quipe_de_Moldavie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Moldavia","Selecci%C3%B3n_de_rugby_de_Moldavia",NA,NA
"320","Q1958874","München RFC","rugby union team","1977-01-01",NA,"MRFC; München Rugby Football Club e.V.",NA,"Germany",NA,NA,NA,NA,"München",NA,NA,"M%C3%BCnchen_RFC","M%C3%BCnchen_RFC",NA,NA,NA,"http://dbpedia.org/resource/München_RFC"
"321","Q1964830","Lithuania national rugby union team","national rugby union team",NA,NA,"Equipe de Lituanie de rugby a XV; Nazionale di rugby XV della Lituania; リトアニアラグビー代表チーム",NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,"Lithuania_national_rugby_union_team","%C3%89quipe_de_Lituanie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Lituania","Selecci%C3%B3n_de_rugby_de_Lituania",NA,NA
"322","Q1988223","Netherlands national rugby union team","national rugby union team","1930-07-01",NA,"Nederland nasionale rugbyspan; Nederland se nasionale rugbyspan; Seleccion de rugby de los Paises Bajos; Nazionale di rugby a 15 dell'Olanda; Nazionale di rugby XV dei Paesi Bassi; Nazionale di rugby XV dell'Olanda; ru hol; ru ned; ru nld; Nederlands rugbyteam (mannen); Reprezentacja Holandii w rugby mężczyzn",NA,"Netherlands",NA,NA,NA,NA,NA,NA,NA,"Netherlands_national_rugby_union_team","%C3%89quipe_des_Pays-Bas_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dei_Paesi_Bassi","Selecci%C3%B3n_de_rugby_de_los_Pa%C3%ADses_Bajos","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%A9%E3%83%B3%E3%83%80%E4%BB%A3%E8%A1%A8",NA
"323","Q1994933","São José Rugby Clube","rugby union team","1987-01-01",NA,"Sao Jose Rugby Clube; São José Rugby; São José",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"S%C3%A3o_Jos%C3%A9_Rugby_Clube","S%C3%A3o_Jos%C3%A9_Rugby_Clube","S%C3%A3o_Jos%C3%A9_Rugby_Clube",NA,NA,"http://dbpedia.org/resource/São_José_Rugby_Clube"
"325","Q2003634","Poland national rugby union team","national rugby union team","1958-04-24",NA,"Nazionale di rugby XV della Polonia; nazionale polacca di rugby a 15; ru pol; Reprezentacja Polski w rugby; Reprezentacja Polski w rugby mężczyzn",NA,"Poland",NA,NA,NA,NA,NA,NA,NA,"Poland_national_rugby_union_team","%C3%89quipe_de_Pologne_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Polonia","Selecci%C3%B3n_de_rugby_de_Polonia",NA,NA
"326","Q2004853","Barbarian Rugby Club","rugby union team","1979-08-01",NA,"Barbarians francesos; Barbarian RC; French Barbarians; Barbarians français; Les Babas",NA,"France",NA,NA,NA,NA,NA,NA,NA,"French_Barbarians","Barbarians_fran%C3%A7ais","Barbarian_Rugby_Club","Barbarians_franceses",NA,"http://dbpedia.org/resource/Barbarian_Rugby_Club"
"327","Q2007245","Desterro Rugby Clube","rugby union club",NA,NA,"Desterro",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Desterro_Rugby_Clube","Desterro_Rugby_Clube","Desterro_Rugby_Clube",NA,NA,"http://dbpedia.org/resource/Desterro_Rugby_Clube"
"330","Q2046470","Curaçao national rugby union team","national rugby union team",NA,NA,"Curacaos rugbyteam; Curacaos rugbyteam (mannen)",NA,"Curaçao",NA,NA,NA,NA,NA,NA,NA,"Cura%C3%A7ao_national_rugby_union_team","%C3%89quipe_de_Cura%C3%A7ao_de_rugby_%C3%A0_XV",NA,"Selecci%C3%B3n_de_rugby_de_Curazao",NA,"http://dbpedia.org/resource/Curaçao_national_rugby_union_team"
"333","Q2095197","Leidsch Studenten Rugby Gezelschap","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"122rd7pn",NA,NA,NA,NA,NA,NA
"334","Q2105092","ESRC The Elephants","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,"Eindhoven",NA,"1hc0gv3bp",NA,NA,NA,NA,NA,NA
"335","Q2149726","Rsca-rugby","rugby union team","1931-01-01",NA,"Anderlecht; R.S.C. Anderlecht Rugby; Paars en wit; Purple and white; Les mauve et blanc; R.S.C. Anderlecht rugby section; The sporting; Royal Sporting Club Anderlecht rugby section; l'old club; les Mauves; Paars en wit; ,","Belgian Rugby Federation","Belgium","Belgian Elite League",NA,NA,NA,NA,NA,NA,"R.S.C._Anderlecht_Rugby","RSCA-Rugby","Royal_Sporting_Club_Anderlecht_Rugby",NA,NA,"http://dbpedia.org/resource/R.S.C._Anderlecht_Rugby"
"336","Q2191086","Unione Sportiva Milanese","rugby union club","1902-01-01",NA,"US Milanese",NA,"Italy",NA,NA,NA,NA,"Milan",NA,"121xjwvy","US_Milanese","Unione_Sportiva_Milanese","Unione_Sportiva_Milanese","Unione_Sportiva_Milanese",NA,NA
"338","Q2208598","SV Odin Hannover","rugby union team","1905-01-01",NA,"Odin Hannover; SV Odin von 1905 e.V.",NA,"Germany",NA,NA,NA,NA,"Hanover",NA,NA,"SV_Odin_Hannover",NA,NA,NA,NA,"http://dbpedia.org/resource/SV_Odin_Hannover"
"342","Q2289089","București Wolves","rugby union team","2004-01-01",NA,"Lupii București; Romanian Wolves; Bucharest Wolves; Bucuarest Oaks; Bucuarest Rugby; Bucureşti Oaks; Bucureşti Rugby; 부쿠레슈티 럭비; Bukareszt Rugby; Lupii (The Wolves); Lupii",NA,"Romania",NA,NA,NA,NA,NA,NA,NA,"Romanian_Wolves","Romanian_Wolves","Bucure%C8%99ti_Rugby","Romanian_Wolves","%E3%83%AB%E3%83%BC%E3%83%9E%E3%83%8B%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%A6%E3%83%AB%E3%83%96%E3%82%BA","http://dbpedia.org/resource/Romanian_Wolves"
"343","Q2289327","CSA Steaua București","rugby union club","1948-01-01",NA,"RC Steaua Bucarest; Rugby Club Steaua Bucureşti; Steaua Bucarest; Rugby Club Steaua București; CSA Steaua București (rugby union); Militarii (The Militaries); Roș-albaștrii (The Blue and Reds); Steaua București; Steliștii; Clubul Sportiv al Armatei Steaua București; Militarii; Roș-albaștrii",NA,"Romania",NA,NA,"Stadionul Steaua",NA,NA,NA,NA,"CSA_Steaua_Bucure%C8%99ti_(rugby_union)","Rugby_club_Steaua_Bucarest","Rugby_Club_Steaua_Bucure%C8%99ti",NA,"CSA%E3%82%B9%E3%83%86%E3%82%A2%E3%82%A6%E3%82%A2%E3%83%BB%E3%83%96%E3%82%AF%E3%83%AC%E3%82%B7%E3%83%A5%E3%83%86%E3%82%A3","http://dbpedia.org/resource/CSA_Steaua_București_(rugby_union)"
"344","Q2300859","Western Province","rugby union team","1883-01-01",NA,"Westelike Provinsie Rugby Unie; Westelike-Provinsie; Westelike Provinsie Rugbyunie; Wester Province Rugby Union; Western Province RFU; Western Province Rugby Football Union; WP Rugby; WPRFU; Western Province Rugby; WPラグビー; Western Province (rugby union); Province, Die Streeptruie and WP; Province; WP; Die Streeptruie","South African Rugby Union","South Africa","Currie Cup",NA,"Newlands Stadium","50900","Cape Town",NA,NA,"Western_Province_(rugby_union)","Western_Province_(rugby_%C3%A0_XV)","Western_Province","Western_Province","%E3%82%A6%E3%82%A7%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%97%E3%83%AD%E3%83%B4%E3%82%A3%E3%83%B3%E3%82%B9","http://dbpedia.org/resource/Western_Province_(rugby_union)"
"345","Q2332289","Slovenia national rugby union team","national rugby union team",NA,NA,"Encijani, Gentians; Nazionale di rugby XV della Slovenia; Reprezentacja Słowenii w rugby mężczyzn",NA,"Slovenia",NA,NA,NA,NA,NA,NA,NA,"Slovenia_national_rugby_union_team","%C3%89quipe_de_Slov%C3%A9nie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Slovenia","Selecci%C3%B3n_de_rugby_de_Eslovenia",NA,NA
"346","Q2332838","Azerbaijan national rugby union team","national rugby union team",NA,NA,"Equipe d'Azerbaidjan de rugby a XV; Équipe d'azerbaïdjan de rugby à xv; Nazionale di rugby XV dell'Azerbaigian; Azerbaycan Milli Ragbi Birliği Takımı",NA,"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,"Azerbaijan_national_rugby_union_team","%C3%89quipe_d%27Azerba%C3%AFdjan_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Azerbaigian",NA,NA,"http://dbpedia.org/resource/Azerbaijan_national_rugby_union_team"
"347","Q2333263","China national rugby union team","national rugby union team","1997-11-01",NA,"Equipe de Chine de rugby a XV; nazionale cinese di rugby; Nazionale di rugby XV della Cina; ラグビー中国代表; Reprezentacja Chin w rugby mężczyzn",NA,"China",NA,NA,NA,NA,NA,NA,NA,"China_national_rugby_union_team","%C3%89quipe_de_Chine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Cina","Selecci%C3%B3n_de_rugby_de_China",NA,NA
"348","Q2334727","Delftsche Studenten Rugby-Club","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"122z_sfk",NA,NA,NA,NA,NA,NA
"349","Q2335211","Israel national rugby union team","national rugby union team",NA,NA,"Equipe d'Israel de rugby a XV; Nazionale di rugby XV d'Israele; イスラエル代表ラグビーチーム",NA,"Israel",NA,NA,NA,NA,NA,NA,NA,"Israel_national_rugby_union_team","%C3%89quipe_d%27Isra%C3%ABl_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_d%27Israele","Selecci%C3%B3n_de_rugby_de_Israel",NA,NA
"350","Q2335804","Latvia national rugby union team","national rugby union team",NA,NA,"Equipe de Lettonie de rugby a XV; Nazionale di rugby XV della Lettonia; Reprezentacja Łotwy w rugby mężczyzn",NA,"Latvia",NA,NA,NA,NA,NA,NA,NA,"Latvia_national_rugby_union_team","%C3%89quipe_de_Lettonie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Lettonia",NA,NA,NA
"351","Q2335859","Serbia national rugby union team","national rugby union team","2006-10-07",NA,"Equipe de Serbie de rugby a XV; Équipe de Serbie et Monténégro de rugby à XV; Équipe de Serbie-et-Monténégro de rugby à XV; Nazionale di rugby XV della Serbia",NA,"Serbia",NA,NA,NA,NA,NA,NA,NA,"Serbia_national_rugby_union_team","%C3%89quipe_de_Serbie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Serbia",NA,NA,NA
"352","Q2345914","Peru national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de Peru; Seleccion de rugby de Perú; Selección de rugby de Peru; Selección de rugby de Perú; Seleccion de rugby del Peru; Seleccion de rugby del Perú; Selección de rugby del Peru; Equipe du Perou de rugby a XV; Los Tumis; Nazionale di rugby XV del Perù; ru per; Seleção Peruana de Râguebi",NA,"Peru",NA,NA,NA,NA,NA,NA,NA,"Peru_national_rugby_union_team","%C3%89quipe_du_P%C3%A9rou_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Per%C3%B9","Selecci%C3%B3n_de_rugby_de_Per%C3%BA",NA,NA
"353","Q2352445","Malaysia national rugby union team","national rugby union team",NA,NA,"Equipe de Malaisie de rugby a XV; Équipe de Malaysie de rugby à XV",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,"Malaysia_national_rugby_union_team","%C3%89quipe_de_Malaisie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Malaysia","Selecci%C3%B3n_de_rugby_de_Malasia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%9E%E3%83%AC%E3%83%BC%E3%82%B7%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
"354","Q2352670","ASRV Ascrum","rugby union club","1962-11-01",NA,"A.S.R.V. Ascrum; Amsterdam Student Rugby Association Ascrum; Ascrum; Amsterdamse Studenten Rugby Vereniging Ascrum",NA,"Netherlands",NA,NA,NA,NA,NA,NA,"121jnmhl",NA,NA,NA,NA,NA,NA
"355","Q2358997","Madagascar national rugby union team","national rugby union team","1970-05-24",NA,"Seleccion de rugby de Madagascar; Equipe de Madagascar de rugby a XV; nazionale malgasci di rugby; Malagassisch rugbyteam (mannen)",NA,"Madagascar",NA,NA,"Mahamasina Municipal Stadium","22000",NA,NA,NA,"Madagascar_national_rugby_union_team","%C3%89quipe_de_Madagascar_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Madagascar","Selecci%C3%B3n_de_rugby_de_Madagascar",NA,NA
"356","Q2359583","Stuttgarter RC","rugby union club","1934-01-01",NA,"Stuttgarter Rugby Club e.V.",NA,"Germany",NA,NA,NA,NA,"Stuttgart",NA,NA,"Stuttgarter_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Stuttgarter_RC"
"362","Q2420720","Avenir sportif de Jemmal","rugby union club","1977-01-01",NA,NA,NA,"Tunisia",NA,NA,NA,NA,"Jemmal",NA,"1hc0qw6d8",NA,"Avenir_sportif_de_Jemmal",NA,NA,NA,NA
"363","Q2451090","Leidse Rugbyclub DIOK","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,"Leiden",NA,"121912w1",NA,"Leidse_Rugbyclub_DIOK",NA,NA,NA,NA
"364","Q2479165","Real Sociedad Gimnástica Española","defunct rugby union club","1887-01-01","1928-01-01","Sociedad Gimnastica Española; Real Sociedad Gimnastica Espanola","Spanish Rugby Federation","Spain",NA,NA,NA,NA,"Madrid",NA,NA,"Real_Sociedad_Gimn%C3%A1stica_Espa%C3%B1ola",NA,"Real_Sociedad_Gimn%C3%A1stica_Espa%C3%B1ola","Real_Sociedad_Gimn%C3%A1stica_Espa%C3%B1ola",NA,NA
"366","Q2491789","Rugbyclub Wageningen","rugby union club","1970-01-01",NA,"Rugby Club Wageningen",NA,"Netherlands",NA,NA,NA,NA,NA,NA,"121wcbky","Rugbyclub_Wageningen",NA,NA,NA,NA,"http://dbpedia.org/resource/Rugbyclub_Wageningen"
"367","Q2528762","RC 't Gooi","rugby union club","1933-01-01",NA,"Rugby Club 't Gooi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_%27t_Gooi","Rugby_Club_%27t_Gooi",NA,NA,NA,"http://dbpedia.org/resource/RC_'t_Gooi"
"369","Q2549837","Warrington Wolves","rugby union team","1879-01-01",NA,"Warrington Wolves Rugby League Football Club; Warrington Zingari",NA,"United Kingdom",NA,NA,"Wilderspool Stadium; Halliwell Jones Stadium",NA,"Warrington",NA,NA,"Warrington_Wolves","Warrington_Wolves_Rugby_League_Football_Club",NA,"Warrington_Wolves","%E3%82%A6%E3%82%A9%E3%83%AA%E3%83%B3%E3%83%88%E3%83%B3%E3%83%BB%E3%82%A6%E3%83%AB%E3%83%96%E3%82%BA",NA
"370","Q2567307","Finland national rugby union team","national rugby union team",NA,NA,"Equipe de Finlande de rugby a XV; Nazionale di rugby XV della Finlandia",NA,"Finland",NA,NA,NA,NA,NA,NA,NA,"Finland_national_rugby_union_team","%C3%89quipe_de_Finlande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Finlandia",NA,NA,NA
"371","Q2567970","Croatia national rugby union team","national rugby union team","1992-01-01",NA,"Equipe de Croatie de rugby a XV; Nazionale di rugby XV della Croazia; ru hrv",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,"Croatia_national_rugby_union_team","%C3%89quipe_de_Croatie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Croazia","Selecci%C3%B3n_de_rugby_de_Croacia",NA,NA
"372","Q2569139","Slovakia national rugby union team","national rugby union team",NA,NA,"Equipe de Slovaquie de rugby a XV; Nazionale di rugby XV della Slovacchia",NA,"Slovakia",NA,NA,NA,NA,NA,NA,NA,"Slovakia_national_rugby_union_team","%C3%89quipe_de_Slovaquie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Slovacchia",NA,NA,"http://dbpedia.org/resource/Slovakia_national_rugby_union_team"
"373","Q2569433","Hungary national rugby union team","national rugby union team",NA,NA,"Équipe d'Hongrie de rugby à XV; Equipe de Hongrie de rugby a XV; Nazionale di rugby XV dell'Ungheria",NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Hungary_national_rugby_union_team","%C3%89quipe_de_Hongrie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Ungheria",NA,NA,NA
