"wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"Q145281","Aironi","defunct rugby union club",2010-01-01,2012-01-01,NA,"Italian Rugby Federation","Italy",NA,"Luigi Zaffanella Stadium","6000","Viadana",NA,NA,"Aironi","Aironi_Rugby","Aironi_Rugby","Aironi_Rugby",NA,"http://dbpedia.org/resource/Aironi"
"Q163288","1. Oberösterreichischer Rugby Sport Club","rugby union club",2000-01-01,NA,"Rugby Club Linz; RC Linz; 1",NA,"Austria",NA,NA,NA,NA,NA,NA,"1._Ober%C3%B6sterreichischer_Rugby_Sport_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/1._Oberösterreichischer_Rugby_Sport_Club"
"Q165586","Nottingham R.F.C.","rugby union club",1871-01-01,NA,"Nottingham RFC; Nottingham Rugby; Nottingham Rugby Club; Nottingham Rugby Football Club; Nottingham Rugby Team; Nottingham rugby union team",NA,"United Kingdom","RFU Championship","Meadow Lane",NA,NA,NA,NA,"Nottingham_R.F.C.","Nottingham_Rugby_Football_Club","Nottingham_Rugby_Football_Club",NA,"%E3%83%8E%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%A0RFC","http://dbpedia.org/resource/Nottingham_R.F.C."
"Q169941","Cardiff Rugby","rugby union club",2003-01-01,NA,"Gleision; Gleision Caerdydd; Cardiff Blues; Blue and Blacks","Welsh Rugby Union","United Kingdom","United Rugby Championship","Cardiff Arms Park","12125","Cardiff",NA,NA,"Cardiff_Rugby","Cardiff_Rugby","Cardiff_Rugby","Cardiff_Rugby","%E3%82%AB%E3%83%BC%E3%83%87%E3%82%A3%E3%83%95%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Cardiff_Rugby"
"Q195734","United Arab Emirates national rugby union team","national rugby union team",2011-04-23,NA,NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,"United_Arab_Emirates_national_rugby_union_team","%C3%89quipe_des_%C3%89mirats_arabes_unis_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_degli_Emirati_Arabi_Uniti","Selecci%C3%B3n_de_rugby_de_Emiratos_%C3%81rabes_Unidos",NA,NA
"Q211985","RC Mainz","rugby union club",1999-01-01,NA,"Rugby Club Mainz; Rugby Club Mainz e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,"RC_Mainz","RC_Mainz",NA,NA,NA,"http://dbpedia.org/resource/RC_Mainz"
"Q247246","Pacific Islanders rugby union team","rugby union team",2004-01-01,NA,"Equipe des Pacific Islanders de rugby a XV; Pacific Islanders; Pacific Islanders rugby team; Tour dei Pacific Islanders 2008",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific_Islanders_rugby_union_team","%C3%89quipe_des_Pacific_Islanders_de_rugby_%C3%A0_XV","Pacific_Islanders","Pacific_Islanders","%E3%83%91%E3%82%B7%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Pacific_Islanders_rugby_union_team"
"Q250778","Portugal national rugby union team","national rugby union team",1935-04-13,NA,"Portugal nasionale rugbyspan; Portugal se nasionale rugbyspan; tîm rygbi Portiwgal; Tim rygbi'r undeb cenedlaethol Portiwgal; Seleccion de rugby de Portugal; Nazionale di rugby XV del Portogallo; ru prt; Portugees rugbyteam (mannen); Reprezentacja Portugalii w rugby mężczyzn; Seleção Portuguesa de Râguebi; Seleção Portuguesa de Rugby Masculino; Seleção Portuguesa de Rugby Union; Selecção Portuguesa de Râguebi; Selecção Portuguesa de Râguebi Masculino; Selecção Portuguesa de Rugby; Selecção Portuguesa de Rugby Masculino; Echipa naţională de rugby a Portugaliei; tim rygbi Portiwgal",NA,"Portugal",NA,"Estádio Universitário de Lisboa","8000",NA,NA,NA,"Portugal_national_rugby_union_team","%C3%89quipe_du_Portugal_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Portogallo","Selecci%C3%B3n_de_rugby_de_Portugal","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%9D%E3%83%AB%E3%83%88%E3%82%AC%E3%83%AB%E4%BB%A3%E8%A1%A8",NA
"Q250783","Spain national rugby union team","national rugby union team",1929-05-20,NA,"Spanje nasionale rugbyspan; Spanje se nasionale rugbyspan; selección de rugbi d'España; selección española de rugbi; selección masculina de rugbi d'España; seleición de rugbi d'España; seleición española de rugbi; Selecció espanyola de rugbi; Selecció nacional de rugbi d'Espanya; XV del Lleó; Tîm rygbi cenedlaethol Sbaen; tîm rygbi Sbaen; tîm rygbi'r undeb cenedlaethol Sbaen; Los Leones; Seleccion de rugby de Espana; Seleccion de rugby de España; Selección de rugby de Espana; Seleccion espanola de rugby; Seleccion española de rugby; Selección espanola de rugby; Selección española de rugby; Seleccion nacional de rugby de Espana; Seleccion nacional de rugby de España; Selección nacional de rugby de Espana; Selección nacional de rugby de España; XV del leon; XV del león; Nazionale di rugby XV della Spagna; ru esp; Spaans rugbyteam (mannen); Reprezentacja Hiszpanii w rugby mężczyzn; Seleção Espanhola de Râguebi; el XV del León",NA,"Spain",NA,"Estadio Nacional Complutense","12000",NA,NA,NA,"Spain_national_rugby_union_team","%C3%89quipe_d%27Espagne_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Spagna","Selecci%C3%B3n_de_rugby_de_Espa%C3%B1a","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Spain_national_rugby_union_team"
"Q254209","FC Lourdes","rugby union team",1911-01-01,NA,"Football club lourdais Hautes-Pyrénées; FC Lourdais; Football club lourdais XV Hautes-Pyrénées; 卢尔德橄榄球俱乐部; Football Club Lourdais XV","French Rugby Federation","France","Fédérale 2","Stade Antoine-Béguère","6500","Lourdes",NA,NA,"FC_Lourdes","Football_club_lourdais_XV_Hautes-Pyr%C3%A9n%C3%A9es","Football_Club_Lourdais_XV","FC_Lourdes","FC%E3%83%AB%E3%83%AB%E3%83%89","http://dbpedia.org/resource/FC_Lourdes"
"Q255027","Älvsjö AIK","rugby union club",1915-05-23,NA,"エルブシェAIK FF",NA,"Sweden",NA,"Älvsjö IP",NA,"Älvsjö",NA,NA,"%C3%84lvsj%C3%B6_AIK",NA,NA,NA,NA,NA
"Q266149","Free State Cheetahs","rugby union club",1895-01-01,NA,"Free State; オレンジ・フリーステイト","South African Rugby Union","South Africa","Currie Cup","Free State Stadium","48000",NA,NA,NA,"Free_State_Cheetahs","Free_State_Cheetahs","Free_State_Cheetahs","Free_State_Cheetahs","%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A4%E3%83%88%E3%83%BB%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Free_State_Cheetahs"
"Q276760","Uruguay national rugby union team","national rugby union team",1951-09-09,NA,"Uruguay nasionale rugbyspan; Uruguay se nasionale rugbyspan; Uruguayse nasionale rugbyspan; tîm rygbi Uruguay; tîm rygbi Wrwgwái; Tîm rygbi'r undeb cenedlaethol Uruguay; tîm rygbi'r undeb cenedlaethol Wrwgwái; nazionale di rugby XV dell’Uruguay; ru ury; Uruguayaans rugbyteam (mannen); Seleção Uruguaia de Râguebi; Seleção uruguaia rugby; Selecção Uruguaia de Rugby; Seleccion de rugby de Uruguay; Seleccion nacional de rugby de Uruguay; Uruguay rugby team; los Teros",NA,"Uruguay",NA,"Estadio Charrúa","14000",NA,NA,NA,"Uruguay_national_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Uruguay","Selecci%C3%B3n_de_rugby_de_Uruguay","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_rugby_union_team"
"Q281694","Berliner RC","rugby union club",1928-01-01,NA,"Berliner Rugby Club; Berliner Rugby Club e.V. 1926",NA,"Germany","Rugby-Bundesliga",NA,NA,"Berlin",NA,NA,"Berliner_RC","Berliner_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Berliner_RC"
"Q282354","Hamilton RFC","rugby union team",1927-01-01,NA,"Hamilton; The Bulls; Hamilton Rugby Club",NA,"United Kingdom","Scottish Premiership Division Two",NA,NA,NA,NA,NA,"Hamilton_RFC","Hamilton_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Hamilton_RFC"
"Q289030","Birmingham Moseley Rugby Club","rugby union club",1873-01-01,NA,"Mose; Billesley Boys; Moseley Rugby; Moseley Rugby Club; Moseley Rugby Football Club; MoseleyRugbyFC; バーミンガム・モーズリー・ラグビー・クラブ; モーズリーRFC; «Мозли Рагби Футбол Клаб»; Moseley R.F.C.; Birmingham Moseley; Moseley Boys","Rugby Football Union","United Kingdom","National League 1","Billesley Common","5000",NA,NA,NA,"Birmingham_Moseley_Rugby","Birmingham_Moseley_Rugby_Football_Club","Birmingham_Moseley_Rugby_Club",NA,"%E3%83%90%E3%83%BC%E3%83%9F%E3%83%B3%E3%82%AC%E3%83%A0%E3%83%BB%E3%83%A2%E3%83%BC%E3%82%BA%E3%83%AA%E3%83%BCRC","http://dbpedia.org/resource/Birmingham_Moseley_Rugby_Club"
"Q297901","ASM Clermont Auvergne","rugby union club",1911-10-11,NA,"Association sportive montferrandaise; Montferrand; AS Montferrand; AS Montferrandaise; Association Sportive Montferrandaise Clermont Auvergne; ASM Clermont; Clermont Auvergne; Clermond FA; ASMCA; Clermont rugby; ASM Clermont Auvergne (спортивный клуб); Les Jaunards; Les Jaunes; The Arverni; The Vulcans; Yellow Army","French Rugby Federation","France","Top 14","Parc des Sports Marcel Michelin","19357","Clermont-Ferrand","clermont",NA,"ASM_Clermont_Auvergne","ASM_Clermont_Auvergne","Association_sportive_montferrandaise_Clermont_Auvergne","ASM_Clermont_Auvergne","ASM%E3%82%AF%E3%83%AC%E3%83%AB%E3%83%A2%E3%83%B3%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%8B%E3%83%A5","http://dbpedia.org/resource/ASM_Clermont_Auvergne"
"Q298137","ASV Köln","rugby union club",1929-01-01,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,"ASV_K%C3%B6ln",NA,NA,NA,NA,NA
"Q304142","Austria national rugby union team","national rugby union team",NA,NA,"Austria national rugby team; Austria rugby team; Austria rugby union team; Austrian national rugby team; Equipe d'Autriche de rugby a XV; Nazionale di rugby XV dell'Austria",NA,"Austria",NA,NA,NA,NA,NA,NA,"Austria_national_rugby_union_team","%C3%89quipe_d%27Autriche_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Austria",NA,NA,NA
"Q319305","Aberavon RFC","rugby union club",1876-01-01,NA,"The Wizards; Welsh Wizards; Aberavon Rugby Football Club",NA,"United Kingdom",NA,"Talbot Athletic Ground",NA,"Port Talbot",NA,NA,"Aberavon_RFC","Aberavon_Rugby_Football_Club","Aberavon_Rugby_Football_Club",NA,NA,"http://dbpedia.org/resource/Aberavon_RFC"
"Q325466","Heidelberger RK","rugby union team",1872-01-01,NA,"HRK; Heidelberger Ruderklub 1872; Heidelberger Ruderklub 1872 e. V.; Heidelberger Ruderklub 1872 e.V.; Heidelberg RK; Heidelberger RK - Rugby",NA,"Germany","Rugby-Bundesliga",NA,NA,"Heidelberg",NA,NA,"Heidelberger_RK","Heidelberger_Ruderklub_1872_e.V.","Heidelberger_Ruderklub_1872",NA,NA,"http://dbpedia.org/resource/Heidelberger_RK"
"Q334657","Chile national rugby union team","national rugby union team",1936-09-18,NA,"Los Condores; Seleccion de rugby de Chile; Seleccion nacional de rugby de Chile; Selección nacional de rugby de Chile; Nazionale di rugby cilena; Nazionale di rugby XV del Cile; ru chl; Seleção Chilena de Râguebi",NA,"Chile",NA,NA,NA,NA,NA,NA,"Chile_national_rugby_union_team","%C3%89quipe_du_Chili_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Cile","Selecci%C3%B3n_de_rugby_de_Chile","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E4%BB%A3%E8%A1%A8",NA
"Q335062","Belgium national rugby union team","national rugby union team",1930-07-01,NA,"België nasionale rugbyspan; Seleccion de rugby de Belgica; les Diables noirs; Nazionale di rugby XV del Belgio; ru bel; Belgisch rugbyteam (mannen); Reprezentacja Belgii w rugby mężczyzn",NA,"Belgium",NA,NA,NA,NA,NA,NA,"Belgium_national_rugby_union_team","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Belgio","Selecci%C3%B3n_de_rugby_de_B%C3%A9lgica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC%E4%BB%A3%E8%A1%A8",NA
"Q367722","Denmark national rugby union team","national rugby union team",1949-01-01,NA,"DRB",NA,"Denmark",NA,NA,NA,NA,NA,NA,"Denmark_national_rugby_union_team","%C3%89quipe_du_Danemark_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Danimarca","Selecci%C3%B3n_de_rugby_de_Dinamarca",NA,NA
"Q373704","Niue national rugby union team","national rugby union team",1983-01-01,NA,"Seleccion de rugby de Niue; nazionale niueana di rugby",NA,"Niue",NA,NA,NA,NA,NA,NA,"Niue_national_rugby_union_team","%C3%89quipe_de_Niue_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Niue","Selecci%C3%B3n_de_rugby_de_Niue",NA,NA
"Q374255","Bosnia and Herzegovina national rugby union team","national rugby union team",1992-01-01,NA,"Nazionale di rugby a 15 della Bosnia",NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,"Bosnia_and_Herzegovina_national_rugby_union_team","%C3%89quipe_de_Bosnie-Herz%C3%A9govine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bosnia_ed_Erzegovina","Selecci%C3%B3n_de_rugby_de_Bosnia_y_Herzegovina",NA,NA
"Q374981","Glasgow Warriors","rugby union club",1996-01-01,NA,NA,"Scottish Rugby Union","United Kingdom","United Rugby Championship","Scotstoun Stadium","4765","Glasgow","glasgow",NA,"Glasgow_Warriors","Glasgow_Warriors","Glasgow_Warriors","Glasgow_Warriors","%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%B4%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Glasgow_Warriors"
"Q377914","Connemara RFC","rugby union team",1974-01-01,NA,"The Blacks; Connemara Rugby Football Club",NA,"Ireland",NA,NA,NA,NA,NA,NA,"Connemara_RFC","Connemara_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Connemara_RFC"
"Q378628","England national rugby union team","national rugby union team",1871-03-27,NA,"selección de rugbi d'Inglaterra; selección inglesa de rugbi; selección masculina de rugbi d'Inglaterra; seleición de rugbi d'Inglaterra; seleición inglesa de rugbi; Anglaterra rugby; rugbi Anglaterra; England national rugby team; England Rugby; England rugby team; England rugby union team; Seleccion de rugby de Inglaterra; XV de la Rose; nazionale inglese di rugby; ru eng; RU England; The Roses; Engels rugbyteam (mannen); ทีมรักบี้อังกฤษ",NA,"United Kingdom",NA,"Twickenham Stadium","82000",NA,NA,NA,"England_national_rugby_union_team","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"Q388269","Rugby Calvisano","rugby union club",1970-01-01,NA,"Calvisano Rugby","Italian Rugby Federation","Italy","Serie A Élite","San Michele Stadium","5000","Calvisano",NA,NA,"Rugby_Calvisano","Rugby_Calvisano","Rugby_Calvisano","Rugby_Calvisano","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%BB%E3%82%AB%E3%83%AB%E3%83%B4%E3%82%A3%E3%82%B6%E3%83%BC%E3%83%8E","http://dbpedia.org/resource/Rugby_Calvisano"
"Q389007","CRC Pozuelo","rugby union team",1963-01-01,NA,"Canoe RC Madrid; Rugby Atlético de Madrid; Canoe Rugby; Canoe Rugby Club Noroeste; UCM Madrid; Club de Rugby CRC Pozuelo","Spanish Rugby Federation","Spain","División de Honor de Rugby","Campo de rugby Valle de las Cañas","500","Pozuelo de Alarcón",NA,NA,"CRC_Pozuelo","CRC_Pozuelo","Canoe_Rugby_Club_Pozuelo_Madrid","CRC_Pozuelo",NA,"http://dbpedia.org/resource/CRC_Pozuelo"
"Q425906","Canberra Vikings","rugby union club",1994-01-01,NA,NA,NA,"Australia",NA,"Manuka Oval",NA,NA,NA,NA,"Canberra_Vikings","Canberra_Vikings",NA,"Canberra_Vikings",NA,"http://dbpedia.org/resource/Canberra_Vikings"
"Q427312","Greece national rugby union team","national rugby union team",2005-10-22,NA,NA,NA,"Greece",NA,NA,NA,NA,NA,NA,"Greece_national_rugby_union_team","%C3%89quipe_de_Gr%C3%A8ce_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Grecia",NA,NA,NA
"Q431412","Stade Toulousain","rugby union club",1907-01-01,NA,"Stade Toulousain (rugby); 图卢兹橄榄球俱乐部; 圖盧茲體育會; Le Stade; Les Rouge et Noir (TheRedandBlacks); Les rouge et noir","French Rugby Federation","France","Top 14","Stade Ernest-Wallon","19500","Toulouse","toulouse",NA,"Stade_Toulousain","Stade_toulousain","Stade_Toulousain","Stade_Toulousain","%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%E3%83%BC%E3%82%B6%E3%83%B3","http://dbpedia.org/resource/Stade_Toulousain"
"Q431717","Bulgaria national rugby union team","national rugby union team",1963-05-20,NA,"nazionale bulgara di rugby; ru bgr; ru bul",NA,"Bulgaria",NA,NA,NA,NA,NA,NA,"Bulgaria_national_rugby_union_team","%C3%89quipe_de_Bulgarie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bulgaria",NA,NA,NA
"Q455793","Amatori Catania","rugby union club",1963-01-01,NA,"Amatori Rugby Catania; Amatori Catania Rugby; Biancorossi","Italian Rugby Federation","Italy",NA,"Stadio Santa Maria Goretti","6000",NA,NA,NA,"Amatori_Catania","Amatori_Catane","Amatori_Catania_Rugby",NA,NA,"http://dbpedia.org/resource/Amatori_Catania"
"Q472632","RC Innsbruck","rugby union club",NA,NA,"Rugby Club Innsbruck",NA,"Austria",NA,NA,NA,NA,NA,NA,"RC_Innsbruck",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Innsbruck"
"Q473372","Andorra national rugby union team","national rugby union team",NA,NA,"seleccion de rugby de Andorra",NA,"Andorra",NA,NA,NA,NA,NA,NA,"Andorra_national_rugby_union_team","%C3%89quipe_d%27Andorre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Andorra","Selecci%C3%B3n_de_rugby_de_Andorra",NA,NA
"Q474910","Unione Rugby Capitolina","rugby union team",1996-01-01,NA,"La Legione Romana (The Roman Legion); La Legione Romana","Italian Rugby Federation","Italy","Serie A; Serie B",NA,NA,NA,NA,NA,"Unione_Rugby_Capitolina","Unione_Rugby_Capitolina","Unione_Rugby_Capitolina",NA,NA,"http://dbpedia.org/resource/Unione_Rugby_Capitolina"
