"Country","Count"
"Afghanistan",1
"Africa",1
"Albania",3
"Algeria",3
"All",1
"American Samoa",1
"Andorra",2
"Antigua and Barbuda",1
"Argentina",489
"Armenia",1
"Australia",539
"Austria",11
"Azerbaijan",1
"Bahamas",1
"Bahrain",2
"Bangladesh",1
"Barbados",1
"Belarus",1
"Belgium",45
"Benin",1
"Bermuda",5
"Bosnia and Herzegovina",8
"Botswana",1
"Brazil",27
"British Virgin Islands",1
"Brunei",1
"Bulgaria",5
"Burkina Faso",1
"Burundi",1
"Cambodia",1
"Cameroon",4
"Canada",114
"Catalonia",1
"Cayman Islands",2
"Chad",1
"Chile",16
"China",4
"Colombia",4
"Cook Islands",2
"Costa Rica",1
"Croatia",8
"Curaçao",1
"Cyprus",3
"Czechia",20
"Czechoslovakia",2
"D.R. of the Congo",1
"Denmark",23
"Dominican Republic",1
"Ecuador",1
"Egypt",1
"El Salvador",2
"England",1088
"Estonia",5
"Eswatini",1
"Fiji",77
"Finland",17
"France",1516
"Georgia",33
"Germany",59
"Ghana",1
"Gibraltar",3
"Greece",10
"Guadeloupe",1
"Guam",3
"Guatemala",2
"Guyana",1
"Honduras",1
"Hong Kong",17
"Hungary",19
"Iceland",2
"India",8
"Indonesia",2
"Iran",1
"Ireland",227
"Israel",8
"Italy",314
"Ivory Coast",6
"Jamaica",1
"Japan",253
"Jersey",3
"Jordan",1
"Kazakhstan",1
"Kenya",21
"Kosovo",1
"Kuwait",1
"Kyrgyzstan",1
"Laos",1
"Latvia",9
"Lebanon",2
"Libya",1
"Lithuania",5
"Luxembourg",5
"Macau",1
"Madagascar",2
"Malawi",1
"Malaysia",9
"Mali",1
"Malta",5
"Martinique",1
"Mauritania",2
"Mauritius",2
"Mayotte",1
"Mexico",1
"Moldova",6
"Monaco",2
"Mongolia",1
"Montenegro",9
"Morocco",7
"Myanmar",1
"Namibia",7
"Nauru",1
"Nepal",2
"Netherlands",31
"New Caledonia",2
"New Zealand",565
"Niger",1
"Nigeria",1
"Niue",1
"Norway",7
"Oman",1
"Pakistan",5
"Panama",1
"Papua New Guinea",3
"Paraguay",2
"Peru",6
"Philippines",4
"Poland",18
"Portugal",42
"Qatar",2
"Republic of the Congo",2
"Réunion",1
"Romania",58
"Russia",38
"Rwanda",1
"Saint Lucia",1
"Saint Vincent and the Grenadines",1
"Samoa",24
"San Marino",2
"Saudi Arabia",2
"Scotland",251
"Senegal",1
"Serbia",10
"Seychelles",1
"Singapore",1
"Slovakia",6
"Slovenia",2
"Solomon Islands",1
"South Africa",736
"South Korea",12
"Spain",117
"Sri Lanka",15
"Sweden",24
"Switzerland",12
"Tahiti",3
"Taiwan",12
"Tanzania",3
"Thailand",2
"Togo",1
"Tonga",25
"Trinidad and Tobago",1
"Tunisia",10
"Turkey",3
"Turks and Caicos Islands",1
"Tuvalu",1
"U.S.A.",244
"U.S.S.R.",1
"Uganda",4
"Ugunda",2
"Ukraine",18
"United Arab Emirates",6
"United Kingdom",8
"Uruguay",15
"Uzbekistan",1
"Vanuatu",2
"Venezuela",1
"Wales",364
"Wallis and Futuna",1
"Yugoslavia",2
"Zambia",1
"Zimbabwe",11
NA,0
