"clubId","clubLabel","clubTypeLabel","inceptionMax","inceptionFormat","terminationMax","terminationFormat","nickmaneLabels","affiliationLabels","countryLabels","competitionLabels","homeVenueLabels","homeVenueCapacities","locationLabels","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa"
"Q1449516","Club Newman","rugby union club","1975-12-15","1975-12-15",NA,NA,NA,"Unión de Rugby de Buenos Aires","Argentina","URBA Top 12",NA,NA,"Benavídez",NA,NA,"Club_Newman","Club_Newman",NA,"Club_Newman",NA
"Q145281","Aironi","defunct rugby union club","2010-01-01","2010-1-1","2012-01-01","2012-1-1",NA,"Italian Rugby Federation","Italy",NA,"Luigi Zaffanella Stadium","6000","Viadana",NA,NA,"Aironi","Aironi_Rugby","Aironi_Rugby","Aironi_Rugby",NA
"Q14645213","NRC The Wasps","rugby union club",NA,NA,NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,"12hhhqcy8",NA,NA,NA,NA,NA
"Q1471265","USA Perpignan","rugby union club","1933-05-05","1933-5-5",NA,NA,"Els catalans","French Rugby Federation","France","Top 14","Stade Aimé Giral","16593","Perpignan",NA,NA,"USA_Perpignan","Union_sportive_Arlequins_perpignanais","Union_Sportive_Arlequins_Perpignanais","Union_Sportive_Arlequins_Perpignanais","USA%E3%83%9A%E3%83%AB%E3%83%94%E3%83%8B%E3%83%A3%E3%83%B3"
"Q14715159","Yale Rugby","rugby union team","1875-01-01","1875-1-1",NA,NA,NA,NA,"United States","Ivy Rugby Conference",NA,NA,NA,NA,NA,"Yale_Rugby",NA,NA,NA,NA
"Q1473374","Leinster Rugby","rugby union franchise","1875-01-01","1875-1-1",NA,NA,NA,"Irish Rugby Football Union","Ireland","United Rugby Championship","RDS Arena","18000","Dublin","leinster",NA,"Leinster_Rugby","Leinster_Rugby","Leinster_Rugby","Leinster_Rugby","%E3%83%AC%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"Q1473503","SC Albi","rugby union club","1906-01-01","1906-1-1",NA,NA,NA,NA,"France",NA,"Stadium Municipal d'Albi",NA,"Albi",NA,NA,"SC_Albi","Sporting_Club_albigeois","Sporting_Club_Albigeois","Sporting_Club_Albi","SC%E3%82%A2%E3%83%AB%E3%83%93"
"Q1475539","Thailand national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Thailand",NA,NA,NA,NA,NA,NA,"Thailand_national_rugby_union_team","%C3%89quipe_de_Tha%C3%AFlande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Thailandia","Selecci%C3%B3n_de_rugby_de_Tailandia",NA
"Q1476647","Wellington Rugby Football Union","rugby union team","1879-01-01","1879-1-1",NA,NA,"the Lions","New Zealand Rugby","New Zealand","ITM Cup","Wellington Regional Stadium","34500","Wellington",NA,NA,"Wellington_Rugby_Football_Union","Wellington_Rugby_Football_Union","Wellington_Rugby_Football_Union",NA,NA
"Q14853450","NSRV Obelix","rugby union club",NA,NA,NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q1490464","Maori All Blacks team","rugby union team","1888-01-01","1888-1-1",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,"M%C4%81ori_All_Blacks","%C3%89quipe_des_M%C4%81ori_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","M%C4%81ori_All_Blacks","M%C4%81ori_All_Blacks","%E3%83%9E%E3%82%AA%E3%83%AA%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%82%B9"
"Q15036596","Nakuru Athletic Club","rugby union club",NA,NA,NA,NA,NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,"Nakuru_Athletic_Club",NA,NA,NA,NA
"Q15055309","Section Paloise","rugby union club","1902-01-01","1902-1-1",NA,NA,NA,"French Rugby Federation","France","Top 14","Stade du Hameau","14999","Pau",NA,NA,"Section_Paloise","Section_paloise_(rugby_%C3%A0_XV)","Section_Paloise","Section_Paloise","%E3%82%BB%E3%82%AF%E3%82%B7%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%91%E3%83%AD%E3%83%AF%E3%83%BC%E3%82%BA"
"Q15055320","Rugby Ottignies Club","rugby union team","1977-03-01","1977-3-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,"Rugby_Ottignies_Club","Rugby_Ottignies_Club",NA,NA,NA
"Q15141543","Rugby Leonessa 1928","defunct rugby union club","2002-01-01","2002-1-1","2008-01-01","2008-1-1",NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA,"Rugby_Leonessa_1928",NA,"Rugby_Leonessa_1928",NA,NA
"Q15143452","Club de Rugby Sant Cugat","rugby union club","1987-01-01","1987-1-1",NA,NA,NA,NA,"Spain",NA,NA,NA,"Sant Cugat del Vallès",NA,NA,"Club_de_Rugby_Sant_Cugat",NA,NA,"Club_de_Rugby_Sant_Cugat",NA
"Q1517603","Llanelli RFC","rugby union team","1872-01-01","1872-1-1",NA,NA,NA,NA,"United Kingdom",NA,"Parc y Scarlets",NA,NA,NA,NA,"Llanelli_RFC","Llanelli_Rugby_Football_Club","Llanelli_Rugby_Football_Club","Llanelli_RFC",NA
"Q1518257","Ospreys","rugby union club","2003-01-01","2003-1-1",NA,NA,NA,NA,"United Kingdom","United Rugby Championship","Liberty Stadium",NA,NA,"ospreys",NA,"Ospreys_(rugby_union)","Ospreys","Ospreys","Ospreys","%E3%82%AA%E3%82%B9%E3%83%97%E3%83%AA%E3%83%BC%E3%82%BA"
"Q1521117","Selkirk RFC","rugby union club","1907-01-01","1907-1-1",NA,NA,NA,NA,"United Kingdom","Scottish Premiership Division Two",NA,NA,NA,NA,NA,"Selkirk_RFC","Selkirk_Rugby_Football_Club",NA,NA,NA
"Q1521264","Newport RFC","rugby union team","1874-01-01","1874-1-1",NA,NA,NA,NA,"United Kingdom",NA,"Rodney Parade",NA,NA,NA,NA,"Newport_RFC","Newport_Rugby_Football_Club","Newport_Rugby_Football_Club","Newport_RFC",NA
"Q1521270","Neath RFC","rugby union club","1871-01-01","1871-1-1",NA,NA,NA,NA,"United Kingdom",NA,"The Gnoll",NA,NA,NA,NA,"Neath_RFC","Neath_Rugby_Football_Club","Neath_Rugby_Football_Club","Neath_RFC",NA
"Q15223071","Harpenden RFC","rugby union team","1919-01-01","1919-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"Harpenden_RFC",NA,NA,NA,NA
"Q15248449","Marlow Rugby Union Football Club","rugby union team","1947-01-01","1947-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"Marlow_RUFC",NA,NA,NA,NA
"Q1529911","Luxembourg national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Luxembourg",NA,"Stade Boy Konen; Stade Josy Barthel",NA,NA,NA,NA,"Luxembourg_national_rugby_union_team","%C3%89quipe_du_Luxembourg_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Lussemburgo",NA,NA
"Q1534021","Golden Lions","rugby union club","1889-01-01","1889-1-1",NA,NA,"Rooibontes","South African Rugby Union","South Africa","Currie Cup","Ellis Park Stadium","62567","Johannesburg",NA,NA,"Golden_Lions","Golden_Lions","Golden_Lions","Golden_Lions","%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA"
"Q15364456","RK Čelik","rugby union team","1972-01-01","1972-1-1",NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,"RK_%C4%8Celik",NA,"Ragbi_klub_%C4%8Celik",NA,NA
"Q15408625","Regbio klubas Lūšis","rugby union team",NA,NA,NA,NA,NA,NA,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q1543491","VVA-Podmoskovye Monino","rugby union club","1967-01-01","1967-1-1",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA,"VVA_Podmoskovye","VVA_Podmoskovye","VVA-Podmoskov%27e",NA,"VVA%E3%83%9D%E3%83%89%E3%83%AB%E3%82%B9%E3%82%AF"
"Q1544234","Uzbekistan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,NA,NA,NA,NA,"Uzbekistan_national_rugby_union_team","%C3%89quipe_d%27Ouzb%C3%A9kistan_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Uzbekistan",NA,NA
"Q1544873","Zimbabwe national rugby union team","national rugby union team","1910-07-30","1910-7-30",NA,NA,"Sables",NA,"Zimbabwe",NA,NA,NA,NA,NA,NA,"Zimbabwe_national_rugby_union_team","%C3%89quipe_du_Zimbabwe_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dello_Zimbabwe","Selecci%C3%B3n_de_rugby_de_Zimbabue","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B8%E3%83%B3%E3%83%90%E3%83%96%E3%82%A8%E4%BB%A3%E8%A1%A8"
"Q1548720","Ulster Rugby","rugby union club","1879-01-01","1879-1-1",NA,NA,NA,"Irish Rugby Football Union","United Kingdom","United Rugby Championship","Ravenhill Stadium","18000","Belfast",NA,NA,"Ulster_Rugby","Ulster_Rugby","Ulster_Rugby","Ulster_Rugby","%E3%82%A2%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"Q15531118","Stahl Brandenburg Rugby","rugby union club","1990-01-01","1990-1-1",NA,NA,NA,NA,"German Democratic Republic",NA,NA,NA,"Brandenburg an der Havel",NA,NA,"Stahl_Brandenburg_Rugby",NA,NA,NA,NA
"Q15615907","RK Vitez","rugby union team",NA,NA,NA,NA,NA,NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q15622257","Lusitanos XV","rugby union team","2013-09-02","2013-9-2",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA,"Lusitanos_(rugby_union)","Lusitanos_XV",NA,"Lusitanos_XV","%E3%83%AB%E3%82%B7%E3%82%BF%E3%83%8E%E3%82%B9XV"
"Q15713287","RC Locomotive Tbilisi","rugby union team",NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,"Tbilisi",NA,NA,"RC_Locomotive_Tbilisi","Rugby_Club_Locomotive_Tbilissi",NA,NA,"RC%E3%83%AD%E3%82%B3%E3%83%A2%E3%83%86%E3%82%A3%E3%83%B4%E3%82%A3%E3%83%BB%E3%83%88%E3%83%93%E3%83%AA%E3%82%B7"
"Q15714694","Bigornia Club","rugby union club","1971-05-24","1971-5-24",NA,NA,NA,NA,"Argentina",NA,NA,NA,"Rawson",NA,"1z0spm8dy",NA,NA,NA,"Bigornia_Club",NA
"Q15728793","Guasca Rugby Clube","rugby union team",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"Guasca_Rugby_Clube",NA,NA,NA,NA
"Q15781824","Afghanistan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Afghanistan",NA,NA,NA,NA,NA,"12z84pxxk",NA,"%C3%89quipe_d%27Afghanistan_de_rugby_%C3%A0_XV",NA,NA,NA
"Q1591699","Hawke’s Bay RU","rugby union team","1884-01-01","1884-1-1",NA,NA,NA,NA,"New Zealand",NA,NA,NA,"Napier",NA,NA,"Hawke%27s_Bay_Rugby_Union","Hawke%27s_Bay_Rugby_Union",NA,NA,NA
"Q15993791","Patoruzú Rugby Club","rugby union club","1972-03-16","1972-3-16",NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,"1pznmk_n9",NA,NA,NA,"Patoruz%C3%BA_Rugby_Club",NA
"Q1606325","Soviet Union national rugby union team","national rugby union team","1974-08-05","1974-8-5",NA,NA,NA,NA,"Soviet Union",NA,NA,NA,NA,NA,NA,"Soviet_Union_national_rugby_union_team","%C3%89quipe_d%27Union_sovi%C3%A9tique_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Unione_Sovietica","Selecci%C3%B3n_de_rugby_de_la_Uni%C3%B3n_Sovi%C3%A9tica",NA
"Q16068853","RC Den Helder","rugby union club","1975-11-28","1975-11-28",NA,NA,NA,NA,"Netherlands",NA,NA,NA,"Den Helder",NA,"1pwgtcccz",NA,NA,NA,NA,NA
"Q1608682","Monaco national rugby union team","national rugby union team","1996-01-01","1996-1-1",NA,NA,NA,NA,"Monaco",NA,NA,NA,NA,NA,NA,"Monaco_national_rugby_union_team","%C3%89quipe_de_Monaco_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Principato_di_Monaco",NA,NA
"Q16113601","RK Lokomotiva","rugby union team","1968-09-18","1968-9-18",NA,NA,NA,"Croatian Rugby Federation","Croatia",NA,NA,NA,NA,NA,"1215pmcq",NA,NA,"Ragbi_klub_Lokomotiva",NA,NA
"Q16115123","Ragbi klub Makarska Rivijera","rugby union team","1968-01-01","1968-1-1",NA,NA,NA,"Croatian Rugby Federation","Croatia","Croatian Rugby Union Championship",NA,NA,"Makarska",NA,"121p6rj7",NA,NA,"Ragbi_klub_Makarska_Rivijera",NA,NA
"Q16150147","Old Alleynian Football Club","rugby union team","1898-01-01","1898-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"Old_Alleynian_F.C.",NA,NA,NA,NA
"Q16156035","Alessandria Rugby","rugby union team",NA,NA,NA,NA,NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,"1yjg7xg0g",NA,NA,"Alessandria_Rugby",NA,NA
"Q16165297","Baton Rouge Rugby Football Club","rugby union team","1977-01-01","1977-1-1",NA,NA,NA,NA,"United States",NA,NA,NA,NA,NA,NA,"Baton_Rouge_Rugby_Football_Club",NA,NA,NA,NA
"Q1620798","Trinidad and Tobago national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"Trinidad_and_Tobago_national_rugby_union_team","%C3%89quipe_de_Trinit%C3%A9-et-Tobago_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Trinidad_e_Tobago","Selecci%C3%B3n_de_rugby_de_Trinidad_y_Tobago",NA
"Q1621334","Bermuda national rugby union team","national rugby union team","1975-01-01","1975-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"Bermuda_national_rugby_union_team","%C3%89quipe_des_Bermudes_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Bermuda","Selecci%C3%B3n_de_rugby_de_Bermudas",NA
"Q1621341","Bahamas national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"The Bahamas",NA,NA,NA,NA,NA,NA,"Bahamas_national_rugby_union_team","%C3%89quipe_des_Bahamas_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Bahamas","Selecci%C3%B3n_de_rugby_de_Bahamas",NA
"Q1621555","Cayman Islands national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Cayman Islands",NA,NA,NA,NA,NA,NA,"Cayman_Islands_national_rugby_union_team","%C3%89quipe_des_%C3%AEles_Ca%C3%AFmans_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Isole_Cayman","Selecci%C3%B3n_de_rugby_de_las_Islas_Caim%C3%A1n",NA
"Q1621574","Costa Rica national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Costa Rica",NA,NA,NA,NA,NA,NA,"Costa_Rica_national_rugby_union_team","%C3%89quipe_du_Costa_Rica_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Costa_Rica","Selecci%C3%B3n_de_rugby_de_Costa_Rica",NA
"Q1621823","Estonia national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Estonia",NA,NA,NA,NA,NA,NA,"Estonia_national_rugby_union_team","%C3%89quipe_d%27Estonie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Estonia",NA,NA
"Q1622110","RC Rottweil","rugby union team","1970-01-01","1970-1-1",NA,NA,NA,NA,"Germany",NA,NA,NA,"Rottweil",NA,NA,"RC_Rottweil",NA,NA,NA,NA
"Q1622363","San Marino national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"San Marino",NA,NA,NA,NA,NA,NA,"San_Marino_national_rugby_union_team","%C3%89quipe_de_Saint-Marin_de_rugby_%C3%A0_XV",NA,NA,NA
"Q1622658","Mauritius national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Mauritius",NA,NA,NA,NA,NA,NA,"Mauritius_national_rugby_union_team","%C3%89quipe_de_Maurice_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Mauritius","Selecci%C3%B3n_de_rugby_de_Mauricio",NA
"Q1622752","German Democratic Republic national rugby union team","national rugby union team","1951-10-21","1951-10-21","1990-09-15","1990-9-15",NA,NA,"German Democratic Republic",NA,NA,NA,NA,NA,NA,"East_Germany_national_rugby_union_team","%C3%89quipe_d%27Allemagne_de_l%27Est_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Repubblica_Democratica_Tedesca","Selecci%C3%B3n_de_rugby_de_Alemania_Democr%C3%A1tica",NA
"Q16237227","Combined New South Wales–Queensland Country","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Combined_New_South_Wales%E2%80%93Queensland_Country",NA,NA,NA,NA
"Q16238092","New York Athletic Club RFC","rugby union team","1973-01-01","1973-1-1",NA,NA,NA,NA,"United States",NA,NA,NA,NA,NA,NA,"New_York_Athletic_Club_RFC","New_York_Athletic_Club_Rugby_Football_Club",NA,NA,NA
"Q16240983","Bracknell RFC","rugby union team","1955-01-01","1955-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"Bracknell_RFC",NA,NA,NA,NA
"Q16242778","Alnwick RFC","rugby union team","1960-01-01","1960-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"Alnwick_RFC",NA,NA,NA,NA
"Q16246717","Gentlemen of Aspen RFC","rugby union team","1977-01-01","1977-1-1",NA,NA,NA,NA,"United States",NA,NA,NA,NA,NA,NA,"Gentlemen_of_Aspen_RFC","Gentlemen_of_Aspen_Rugby_Football_Club",NA,NA,NA
"Q16247459","Hora Hora RFC","rugby union team",NA,NA,NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,"Hora_Hora_RFC",NA,NA,NA,NA
"Q16248923","Diablo Gaels RFC","rugby union team","1971-01-01","1971-1-1",NA,NA,NA,NA,"United States",NA,NA,NA,NA,NA,NA,"Diablo_Gaels_RFC",NA,NA,NA,NA
"Q16250973","Yugoslavia national rugby union U19 team","national rugby union team",NA,NA,NA,NA,NA,NA,"Socialist Federal Republic of Yugoslavia",NA,NA,NA,NA,NA,NA,"Yugoslavia_national_under-19_rugby_union_team",NA,NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Yugoslavia",NA
"Q16252135","Heriots Cricket Club","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heriot%27s_Cricket_Club",NA,NA,NA,NA
"Q16253642","London French RFC","rugby union team","1959-01-01","1959-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"London_French_RFC",NA,NA,NA,NA
"Q16257741","Kisumu RFC","rugby union team",NA,NA,NA,NA,NA,NA,"Kenya","Nationwide League",NA,NA,"Kisumu",NA,NA,"Kisumu_RFC",NA,NA,NA,NA
"Q16266475","Rugby Club Leuven","rugby union team","1983-01-01","1983-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,"Rugby_Club_Leuven",NA,NA,NA,NA
"Q1628212","Cahors Rugby","rugby union team","1908-01-01","1908-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Cahors",NA,NA,"Cahors_Rugby","Cahors_Rugby","Cahors_rugby",NA,NA
"Q16320","Club Atlético Peñarol","rugby union club","1891-09-28","1891-9-28",NA,NA,"Aurinegros",NA,"Uruguay",NA,"Estadio Campeón del Siglo",NA,"Montevideo",NA,NA,"Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","CA%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB"
"Q163288","1. Oberösterreichischer Rugby Sport Club","rugby union club","2000-01-01","2000-1-1",NA,NA,NA,NA,"Austria",NA,NA,NA,NA,NA,NA,"1._Ober%C3%B6sterreichischer_Rugby_Sport_Club",NA,NA,NA,NA
"Q1632899","Barbados national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Barbados",NA,NA,NA,NA,NA,NA,"Barbados_national_rugby_union_team","%C3%89quipe_de_la_Barbade_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Barbados","Selecci%C3%B3n_de_rugby_de_Barbados",NA
"Q1634037","El Salvador national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"El Salvador",NA,NA,NA,NA,NA,NA,"El_Salvador_national_rugby_union_team","%C3%89quipe_du_Salvador_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_El_Salvador","Selecci%C3%B3n_de_rugby_de_El_Salvador",NA
"Q1634636","Qatar national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Qatar",NA,NA,NA,NA,NA,NA,"Qatar_national_rugby_union_team","%C3%89quipe_du_Qatar_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Qatar",NA,NA
"Q1634654","Catalonia national rugby union team","national rugby union team","1934-04-14","1934-4-14",NA,NA,"El XV de la ginesta",NA,"Spain",NA,"Camp Municipal de Rugby La Foixarda","800",NA,NA,NA,"Catalonia_national_rugby_union_team","%C3%89quipe_de_Catalogne_de_rugby_%C3%A0_XV","Selezione_maschile_di_rugby_a_15_della_Catalogna","Selecci%C3%B3n_de_rugby_de_Catalu%C3%B1a",NA
"Q1634699","Jordan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Jordan",NA,NA,NA,NA,NA,NA,"Jordan_national_rugby_union_team","%C3%89quipe_de_Jordanie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Giordania",NA,NA
"Q1634826","Turkey national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Turkey",NA,NA,NA,NA,NA,NA,"Turkey_national_rugby_union_team","%C3%89quipe_de_Turquie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Turchia",NA,NA
"Q16354761","Griffins RFC","rugby union team","2011-01-01","2011-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Griffins_RFC",NA,NA,NA,NA
"Q1638171","USA Limoges","rugby union team","1902-01-01","1902-1-1",NA,NA,NA,NA,"France",NA,"Stade Municipal de Beaublanc",NA,"Limoges",NA,NA,"USA_Limoges","Union_sportive_athl%C3%A9tique_de_Limoges",NA,NA,NA
"Q16382410","Rugby olympique agathois","rugby union club","1969-01-01","1969-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Agde",NA,"12tb8681l",NA,"Rugby_olympique_agathois",NA,NA,NA
"Q1645702","Club Universitario de Buenos Aires","rugby union club","1918-01-01","1918-1-1",NA,NA,NA,"Unión de Rugby de Buenos Aires","Argentina","URBA Top 12",NA,NA,"Buenos Aires",NA,NA,"Club_Universitario_de_Buenos_Aires","Club_Universitario_de_Buenos_Aires","Club_Universitario_de_Buenos_Aires","Club_Universitario_de_Buenos_Aires","%E3%82%AF%E3%83%AB%E3%83%96%E3%83%BB%E3%82%A6%E3%83%8B%E3%83%99%E3%83%AB%E3%82%B7%E3%82%BF%E3%83%AA%E3%82%AA%E3%83%BB%E3%83%87%E3%83%BB%E3%83%96%E3%82%A8%E3%83%8E%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%AC%E3%82%B9"
"Q16540514","Club athlétique Lormont Hauts de Garonne","rugby union team","1995-01-01","1995-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Lormont",NA,"12mkyv5t_",NA,"Club_athl%C3%A9tique_Lormont_Hauts_de_Garonne",NA,NA,NA
"Q165586","Nottingham R.F.C.","rugby union club","1871-01-01","1871-1-1",NA,NA,NA,NA,"United Kingdom","RFU Championship","Meadow Lane",NA,NA,NA,NA,"Nottingham_R.F.C.","Nottingham_Rugby_Football_Club","Nottingham_Rugby_Football_Club",NA,"%E3%83%8E%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%A0RFC"
"Q16599080","Rugby Jesi 70","rugby union team",NA,NA,NA,NA,NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,"12b02tqh0",NA,NA,"Rugby_Jesi_1970",NA,NA
"Q16599138","Marabunta Rugby Club","rugby union club","1970-10-03","1970-10-3",NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,"12nvpb71_",NA,NA,NA,"Marabunta_Rugby_Club",NA
"Q16611237","Neuquén Rugby Club","rugby union club","1976-07-23","1976-7-23",NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,"12nvpf4pc",NA,NA,NA,"Neuqu%C3%A9n_Rugby_Club",NA
"Q1661537","India national rugby union team","national rugby union team","1998-10-26","1998-10-26",NA,NA,NA,NA,"India",NA,NA,NA,NA,NA,NA,"India_men%27s_national_rugby_union_team","%C3%89quipe_d%27Inde_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27India",NA,NA
"Q16619242","Umbria Rugby Ragazze","rugby union team","2010-01-01","2010-1-1",NA,NA,NA,"Italian Rugby Federation","Italy",NA,NA,NA,"Perugia",NA,"1ydxpyq1b",NA,NA,"Umbria_Rugby_Ragazze",NA,NA
"Q16653216","Las Águilas Rugby Club","rugby union club","1961-01-01","1961-1-1",NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,"125_c3bqs",NA,"Las_%C3%81guilas_Rugby_Club",NA,NA,NA
"Q16656682","RC Kredo-63","rugby union club","1963-01-01","1963-1-1",NA,NA,NA,NA,"Ukraine",NA,NA,NA,NA,NA,NA,"RC_Kredo-63",NA,NA,NA,NA
"Q16672727","ROC La Voulte-Valence","rugby union team","2010-01-01","2010-1-1","2016-06-30","2016-6-30",NA,NA,"France",NA,"Stade Georges Pompidou",NA,"Valence",NA,"12dpx18wd","ROC_La_Voulte-Valence","Rh%C3%B4ne_ovalie_club_La_Voulte_Valence",NA,NA,NA
"Q16677846","Stade union cavaillonnais","rugby union club","1903-10-15","1903-10-15",NA,NA,NA,NA,"France",NA,NA,NA,"Cavaillon",NA,"12dpwrj6g",NA,"Stade_union_cavaillonnais",NA,NA,NA
"Q16705877","RC TEX-A-C","rugby union club","2002-01-01","2002-1-1",NA,NA,NA,NA,"Ukraine",NA,NA,NA,NA,NA,NA,"RC_TEX-A-C",NA,NA,NA,NA
"Q16722629","Yuzhnoe Tushino Rugby Club","rugby union club","1994-01-01","1994-1-1",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,NA,"1yg58jshg",NA,NA,NA,NA,NA
