"text","position"
"3.ª Línea","3rd Row"
"3.ª Línea","3rd Row"
"3ª línea","3rd Row"
"ala","3rd Row"
"Ala","3rd Row"
"Ala-Pívot",NA
"Ala abierto","Blindside Flanker"
"Ala cerrado","Openside Flanker"
"AlaCentroStand-off","3rd Row; Centre; Fly-Half"
"apertura","Fly-Half"
"Apertura","Fly-Half"
"Back","Back"
"baloncesto",NA
"blindside","Blindside Flanker"
"Centre","Centre"
"centro","Centre"
"Centro","Centre"
"centro exterior","Outside Centre"
"Centro exterior","Outside Centre"
"Centro interior","Inside Centre"
"Centro o wing","Centre; Winger"
"centro/Wing","Centre; Winger"
"Defensive tackle",NA
"delantero","Forward"
"Delantero","Forward"
"flanker","Flanker"
"Flanker","Flanker"
"Flanker cerrado","Openside Flanker"
"FlankerLock","Flanker; 2nd Row"
"Fly-half","Fly-Half"
"fullback","Fullback"
"Fullback","Fullback"
"Fullback (rugby)","Fullback"
"fullback y apertura","Fullback; Fly-Half"
"Fullback, Centro y Wing","Fullback; Centre; Winger"
"FullbackSecond five-eight","Fullback; Inside Centre"
"guardameta",NA
"Halfback","Half-Back"
"hooker","Hooker"
"Hooker","Hooker"
"Hooker (Talonador)","Hooker"
"Lock","2nd Row"
"Medio apertura","Fly-Half"
"medio de melé","Scrum-Half"
"Medio de melé","Scrum-Half"
"medio melé","Scrum-Half"
"Medio melé","Scrum-Half"
"medio melée","Scrum-Half"
"Medio melée","Scrum-Half"
"medio scrum","Scrum-Half"
"Medio scrum","Scrum-Half"
"Medioscrum","Scrum-Half"
"N.º 8","Number 8"
"N°8","Number 8"
"Number 8","Number 8"
"Number 8Lock","Number 8; 2nd Row"
"número 8","Number 8"
"Número 8","Number 8"
"Ocho","Number 8"
"octavo","Number 8"
"Octavo","Number 8"
"pilar","Prop"
"Pilar","Prop"
"Pilar derecho","Tighthead Prop"
"Pilar izquierdo","Loosehead Prop"
"pilier","Prop"
"Pilier","Prop"
"Pívot",NA
"Presidente",NA
"prop","Prop"
"Prop","Prop"
"PropHooker","Prop; Hooker"
"PropSecond rowLoose forward","Prop; 2nd Row; 3rd Row"
"rugby",NA
"rugby union",NA
"Scrum","Scrum-Half"
"Seguna línea","2nd Row"
"segunda línea","2nd Row"
"Segunda línea","2nd Row"
"Segunda Línea","2nd Row"
"talonador","Hooker"
"Talonador","Hooker"
"Tercera Ala","Flanker"
"Tercera línea","3rd Row"
"Tercera linea-Ala","Flanker"
"Three-quarter backFullback","Three-Quarter; Fullback"
"Tres cuartos","Three-Quarter"
"wing","Winger"
"Wing","Winger"
"wing (rugby)","Winger"
"Wing (rugby)","Winger"
"Wing izquierdo","Left Winger"
"Wing o Centro","Winger; Centre"
"Wingderecho","Right Winger"
"Winger","Winger"
"WingFullback","Winger; Fullback"
"wingizquierdo","Left Winger"
"Wingizquierdo","Left Winger"
"zaguero",NA
"Zaguero",NA
"ZagueroBateador",NA
