"text","location"
"(Reino Unido)","United Kingdom"
"AlemaniaAlemania","Germany"
"Arabia Saudí","Saudi Arabia"
"Argelia","Algeria"
"argentina","Argentina"
"Argentina","Argentina"
"Argentinayfrancesa","Argentina; France"
"argentino","Argentina"
"Argentino","Argentina"
"Australia","Australia"
"Australiana","Australia"
"Australiano","Australia"
"BélgicaBélgica","Belgium"
"BoliviaBolivia","Bolivia"
"Británica","United Kingdom"
"BritánicayBritánica","United Kingdom"
"Británico","United Kingdom"
"CamerúnCamerún","Cameroon"
"Camerunesayespañola","Cameroon; Spain"
"Canadá","Canada"
"CanadáCanadá","Canada"
"Canadiense","Canada"
"Chile","Chile"
"Chileno","Chile"
"ChinaChina","China"
"ColombianayFrancesa","Colombia; France"
"Costa de Marfil","Ivory Coast"
"Costa de MarfilCosta de Marfil","Ivory Coast"
"EgiptoEgipto","Egypt"
"Escocés","Scotland"
"Escocia","Scotland"
"Escocia, Reino Unido","Scotland"
"Escocia,Reino Unido","Scotland"
"EscociaEscocia","Scotland"
"EscociaEscocia, Reino Unido","Scotland"
"España","Spain"
"Española","Spain"
"Estados Unidos","U.S.A."
"Estadounidense","U.S.A."
"FilipinasFilipinas","Philippines"
"Fiyi","Fiji"
"FiyianayFrancesa","Fiji; France"
"Fiyiano","Fiji"
"FiyianoAustraliano","Fiji; Australia"
"FiyiFiyi","Fiji"
"Francés","France"
"Francés e irlandés","France; Ireland"
"Francesa","France"
"Francia","France"
"Gales","Wales"
"Galés","Wales"
"Gales, Reino Unido","Wales"
"Gales,Reino Unido","Wales"
"GalesGales","Wales"
"GalesGales, Reino Unido","Wales"
"GalesGales,Reino Unido","Wales"
"Georgia","Georgia"
"Georgiana","Georgia"
"Georgiano","Georgia"
"HaitíHaití","Haiti"
"Hong KongHong Kong","Hong Kong"
"Imperio ruso","Russia"
"Inglaterra","England"
"Inglaterra, Reino Unido", "England"
"Inglaterra,Reino Unido","England"
"InglaterraInglaterra","England"
"InglaterraInglaterra, Reino Unido","England"
"Inglés","England"
"InglésAustraliano","England; Australia"
"Irlanda","Ireland"
"Irlanda del Norte, Reino Unido","Ireland"
"Irlanda del Norte,Reino Unido","Ireland"
"Irlanda del NorteIrlanda del Norte, Reino Unido","Ireland"
"Irlanda(actualidad)","Ireland"
"Irlandés","Ireland"
"Irlandesa","Ireland"
"IsraelIsrael","Israel"
"Italia","Italy"
"ItaliaItalia","Italy"
"Italiana","Italy"
"ItalianayZimbabuense","Italy; Zimbabwe"
"ItalianoAustraliano","Italy; Australia"
"Japón","Japon"
"MalasiaMalasia","Malaysia"
"Moldavo","Moldova"
"Namibia","Namibia"
"NamibiaNamibia","Namibia"
"Neerlandesayespañola","Netherlands; Spain"
"Neozelandés","New Zealand"
"Neozelandesa","New Zealand"
"NeozelandesaSamoana","New Zealand; Samoa"
"Nueva Zelanda","New Zealand"
"Nueva ZelandaNueva Zelanda","New Zealand"
"Países Bajos","Netherlands"
"Papúa Nueva Guinea","Papua New Guinea"
"Papúa Nueva GuineaPapúa Nueva Guinea","Papua New Guinea"
"Polaca","Poland"
"Portugal","Portugal"
"Reino Unido","United Kingdom"
"Reino UnidoReino Unido","United Kingdom"
"República Checa","Czechia"
"República de Irlanda","Ireland"
"República Sudafricana","South Africa"
"Rodesia del Sur(hoyZimbabue)","Zimbabwe"
"Rodesia(actualZimbabue)","Zimbabwe"
"Rodesia(hoyZimbabueZimbabue)","Zimbabwe"
"Rumania","Romania"
"Rumanía","Romania"
"RumaniaRumania","Romania"
"Ruso","Russia"
"Samoa","Samoa"
"Samoa Americana","American Samoa"
"Samoa Occidental","Samoa"
"Samoana","Samoa"
"SamoanayNeozelandesa","Samoa; New Zealand"
"Samoano","Samoa"
"SamoaSamoa","Samoa"
"Senegal","Senegal"
"Sudáfrica","South Africa"
"SudafricanaeItaliana","South Africa; Italy"
"Sudafricano","South Africa"
"SuizaSuiza","Switzerland"
"Tonga","Tonga"
"Tongana","Tonga"
"Tongano","Tonga"
"UcraniaUcrania","Ukraine"
"Unión Sudafricana","South Africa"
"URSS","U.S.S.R."
"Uruguay","Uruguay"
"Uruguaya","Uruguay"
"Uruguayo","Uruguay"
"Venezuela","Venezuela"
"Zaire","Zaire"
"Zambia","Zambia"
"Zimbabue","Zimbabwe"
"ZimbabueZimbabue","Zimbabwe"
