"origWdId","origName","wiki_name","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","amateur","2013-2014","ucd","University_College_Dublin_R.F.C.",0,0,"2013","2014"
"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","amateur","2014-","clontarf","Clontarf_F.C.",0,0,"2014",NA
"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","senior_club","2016-2017","connacht","Connacht_Rugby",1,0,"2016","2017"
"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","senior_club","2025-","leinster","Leinster_Rugby",1,0,"2025",NA
"Q27662893","Ben Addison","Ben Addison","Ben_Addison","amateur","NA-NA","stirling county","Stirling_County_RFC",0,0,NA,NA
"Q27662893","Ben Addison","Ben Addison","Ben_Addison","amateur","2015-2019","gha rfc","Glasgow_Hutchesons_Aloysians_RFC",84,185,"2015","2019"
"Q27662893","Ben Addison","Ben Addison","Ben_Addison","senior_club","2005-2007","glasgow warriors","Glasgow_Warriors",0,0,"2005","2007"
"Q27662893","Ben Addison","Ben Addison","Ben_Addison","international","NA-NA","scotland u19","Scotland_national_under-19_rugby_union_team",0,0,NA,NA
"Q27662893","Ben Addison","Ben Addison","Ben_Addison","international","NA-NA","scotland u21","Scotland_national_under-21_rugby_union_team",0,0,NA,NA
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","amateur","NA-NA","blackrock college","Blackrock_College_RFC",0,0,NA,NA
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2001-2008","glasgow warriors","Glasgow_Warriors",21,0,"2001","2008"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2006-2007","→waterloo","Waterloo_F.C.",0,0,"2006","2007"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2007-2008","→rotherham titans","Rotherham_Titans",0,0,"2007","2008"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2008-2010","rotherham titans","Rotherham_Titans",0,0,"2008","2010"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010-2010","nottingham","Nottingham_R.F.C.",0,0,"2010","2010"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010-2010","leinster","Leinster_Rugby",0,0,"2010","2010"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010-2010","→rotherham titans","Rotherham_Titans",0,0,"2010","2010"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010-2011","northampton saints","Northampton_Saints",0,0,"2010","2011"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2011-2012","nottingham","Nottingham_R.F.C.",0,0,"2011","2012"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2012-2014","cornish pirates","Cornish_Pirates",0,0,"2012","2014"
"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2014-2015","london scottish","London_Scottish_F.C.",0,0,"2014","2015"
