"original","normalized","keep"
"Act","Australia",FALSE
"Akita Prefecture","Japan",TRUE
"Alaska","U.S.A.",TRUE
"Albania","Albania",FALSE
"Alberta","Canada",TRUE
"Algeria","Algeria",FALSE
"Allied-Occupied Germany","Germany",FALSE
"American Samoa","American Samoa",FALSE
"Angola","Angola",FALSE
"Argentina","Argentina",FALSE
"Argentine","Argentina",FALSE
"Arizona","U.S.A.",TRUE
"Auckland","New Zealand",TRUE
"Australia","Australia",FALSE
"Austria-Hungary","Austria-Hungary",FALSE
"Ayutthaya","Thailand",TRUE
"Az","U.S.A.",FALSE
"Bangladesh","Bangladesh",FALSE
"Barcelona","Spain",TRUE
"Basutoland","Lesotho",FALSE
"Belgium","Belgium",FALSE
"Berkshire","England",TRUE
"Bermuda","Bermuda",FALSE
"Bombay Presidency","India",TRUE
"Bosnia","Bosnia",FALSE
"Botswana","Botswana",FALSE
"Bouches-Du-Rhône","France",TRUE
"Brazil","Brazil",FALSE
"British Burma","Burma",FALSE
"British Ceylon","Sri Lanka",FALSE
"British Columbia","Canada",TRUE
"British Hong Kong","Hong Kong",FALSE
"British India","India",FALSE
"British North America","U.S.A.",FALSE
"British Overseas Territories","United Kingdom",FALSE
"British Raj","India",FALSE
"Britishindia","India",FALSE
"Brunei","Brunei",FALSE
"Buckinghamshire","England",TRUE
"Burkina Faso","Burkina Faso",FALSE
"Ca","Canada",FALSE
"Caerphilly","Wales",TRUE
"California","U.S.A.",TRUE
"Cambridgeshire","England",TRUE
"Cameroon","Cameroon",FALSE
"Canada","Canada",FALSE
"Canada West","Canada",FALSE
"Cape Colony","South Africa",FALSE
"Cape Province","South Africa",TRUE
"Cape Town","South Africa",TRUE
"Carmarthenshire","England",TRUE
"Carlisle","England",TRUE
"Ceylon","Sri Lanka",FALSE
"Cheshire","England",TRUE
"Chile","Chile",FALSE
"China","China",FALSE
"Co. Antrim","Ireland",TRUE
"Co. Cork Ireland","Ireland",TRUE
"Co. Down","Ireland",TRUE
"Co. Westmeath","Ireland",TRUE
"Colony Of Fiji","Fiji",FALSE
"Colony Of Natal","South Africa",TRUE
"Colony Of New South Wales","Australia",TRUE
"Colony Of Victoria","Australia",TRUE
"Colorado","U.S.A.",TRUE
"Cook Islands","Cook Islands",FALSE
"Cornwall","England",TRUE
"Côte D'ivoire","Ivory Coast",FALSE
"County Antrim","Ireland",TRUE
"County Armagh","Ireland",TRUE
"County Carlow","Ireland",TRUE
"County Down","Ireland",TRUE
"County Durhamengland","Ireland",TRUE
"County Galway","Ireland",TRUE
"County Kerry","Ireland",TRUE
"County Kildareireland","Ireland",TRUE
"County Kilkenny","Ireland",TRUE
"County Laois","Ireland",TRUE
"County Meath","Ireland",TRUE
"County Roscommon","Ireland",TRUE
"County Tipperary","Ireland",TRUE
"County Tyrone","Ireland",TRUE
"County Wicklow","Ireland",TRUE
"Croatia","Croatia",FALSE
"Cumberland","England",TRUE
"Cumbria","England",TRUE
"Czechoslovakia","Czechoslovakia",FALSE
"D.c.","U.S.A.",TRUE
"Democratic Republic Of Congo","D.R. of the Congo",FALSE
"Democratic Republic Of The Congo","D.R. of the Congo",FALSE
"Denbighshire","England",TRUE
"Devon","England",TRUE
"Dominion Of Fiji","Fiji",FALSE
"Dorset","England",TRUE
"Dr Congo","D.R. of the Congo",FALSE
"Drôme","France",TRUE
"Dublin","Ireland",TRUE
"Dutch East Indies","Indonesia",FALSE
"East London","England",TRUE
"East Lothian","England",TRUE
"Eastern Cape","South Africa",TRUE
"Eastern Province","South Africa",TRUE
"Edinburgh","Scotland",TRUE
"Egypt","Egypt",FALSE
"England","England",FALSE
"England Uk","England",FALSE
"España","Spain",FALSE
"Essex","England",TRUE
"Fascist Italy","Italy",FALSE
"Federation Of Rhodesia And Nyasaland","Zimbabwe",TRUE
"Fiji","Fiji",FALSE
"Fiji Islands","Fiji",FALSE
"Fr Yugoslavia","Yugoslavia",FALSE
"Frabce","France",FALSE
"France","France",FALSE
"Free State","South Africa",TRUE
"French Algeria","Algeria",FALSE
"French Indochina","Vietnam",FALSE
"French Tunisia","Tunisia",FALSE
"Gasperich","Luxembourg",TRUE
"Gauteng","South Africa",TRUE
"Georgia","Georgia",FALSE
"Georgian Ssr","Georgia",FALSE
"German East Africa","Burundi",FALSE
"German-Occupied France","France",FALSE
"German Empire","Germany",FALSE
"Germany","Germany",FALSE
"Gers","France",TRUE
"Ghana","Ghana",FALSE
"Glamorgan","Wales",TRUE
"Gloucestershire","England",TRUE
"Gold Coast","Australia",TRUE
"Great Britain","United Kingdom",FALSE
"Greater Manchester","England",TRUE
"Greece","Greece",FALSE
