"text","location"
"アイルシャム","Aylsham"
"アシュフォード","Ashford"
"アスコット","Ascot"
"オークランド","Auckland"
"アッパーハット","Upper Hutt"
"アディ","Adi"
"アデレード","Adelaide"
"アリワルノース","Aliwal North"
"アロア","Alois"
"イーズタウン","Easttown"
"イースト・デレハム","East Dereham"
"イニシュモア","Inishmore"
"ヴァイオラ","Viola"
"ウェリントン","Wellington"
"ヴライプルク","Vrijpurg"
"ヴリヘイド","Vryheid"
"エシャンゼニ郡","Echanzenie County"
"エルビセーニ","Elviseny"
"エンコボ","Encobo"
"エンパンゲニ","Empangeni"
"オノ・イ・ラウ","Ono-i-Lau"
"オポティキ","Opotiki"
"オマルル","Omaruru"
"カールトンヴィル","Carltonville"
"カールトンビル","Carlton Building"
"ガウ島","Gau Island"
"カメンカ","Kamenka"
"ガラシエル","Galaciel"
"カワカワ","Kawakawa"
"カンボーン","Camborne"
"キラロー","Killaloe"
"クウィーンビアン","Queenbian"
"グウォイン＝カー＝ゲーワン","Gwoyn Kerr Gewan"
"グラ・フモルルイ","Gura Fumorrui"
"クライガボン","Craigavon"
"クリーブランド","Cleveland"
"クルーガーズドープ","Krugersdorp"
"グレイヴズエンド","Gravesend"
"クレイガヴォン","Craigavon"
"グロデニ","Glodeni"
"クワリンダイ","Kuwarindai"
"ケンブリッジ","Cambridge"
"ゴア","Goa"
"ゴーセイノン","Gorseinon"
"ゴーリー","Gorey"
"コスティネシュティ","Costinésti"
"ゴッドマンチェスター","Godmanchester"
"コロボウ","Corobou"
"コンセプションベイサウス","Conception Bay South"
"サウスオークランド","South Auckland"
"サウスポート","Southport"
"サマセット・ウェスト","Somerset West"
"サマセットウェスト","Somerset West"
"サン＝ペ＝シュル＝ニヴェル","Saint-Pé-sur-Nivelle"
"シドカップ","Sidcup"
"ジモン","Jimon"
"シャビオット","Chaviot"
"スコーン","Scone"
"スタンダートン","Standerton"
"スティームボートスプリングス","Steamboat Springs"
"スティッツビル","Stittsville"
"スプリングウッド","Springwood"
"セール","Sale"
"セロ・カムビレエフスコエ","Selo-Kambileyevskoye"
"セントアルバート","St. Albert"
"ソロカ","Soroka"
"ダーリンハースト","Darlinghurst"
"ダイサート","Dysart"
"タイハペ","Taihape"
"タカプナ","Takapuna"
"ダコラム","Dacolum"
"タワフラット","Tower Flat"
"ダンカン","Duncan"
"チャーチ・ヴィレッジ","Church Village"
"チョーリー","Chorley"
"ティペラリー","Tipperary"
"デュースベリー","Dewsbury"
"トコロア","Tokoroa"
"トフォア","Tofoa"
"トレオルヒ","Treorch"
"トレバノス","Trebanos"
"ナイジェル","Nigel"
"ナイタシリ","Naitasiri"
"ナヴニソール","Navnisor"
"ナチュヴァ","Natuvava"
"ナディ","Nadi"
"ナドロガ＝ナヴォサ","Nadroga-Navsa"
"ナドロガ＝ナヴサ","Nadroga-Navsa"
"ナブア","Navua"
"ニュー・スムナー・ビーチ","New Summer Beach"
"ヌクイラウ","Nukuilau"
"ネグリレシュティ","Negrireshti"
"ノースハーバー","North Harbor"
"ノッティングリー","Nottingley"
"パークス","Parks"
"ハイデルベルク","Heidelberg"
"バデリム","Buderim"
"パパクラ","Papakura"
"パラパラウム","Paraparaumu"
"バリーナヒンチ","Ballynahinch"
"バリナ","Barina"
"ハンターズビル","Huntersville"
"ピーブルス","Peebles"
"ビヴォラリ","Vivolari"
"ヒューマンズドロップ","Human's Drop"
"ファレアシウ","Faleaciu"
"フィックスブルグ","Ficksburg"
"フェアフィールド","Fairfield"
"フォーブス","Forbes"
"プケ","Puke"
"ブシア","Busia"
"ブライアンストン","Bryanston"
"ブラクパン","Brakpan"
"ブラックロック","Black Rock"
"プリサカーニ","Purisakani"
"ブリッジ・オブ・アーラン","Bridge of Allan"
"ブリッツ","Blitz"
"ブルラド","Burlad"
"プレストン","Preston"
"プロサーパイン","Proserpine"
"ベチャル","Bechar"
"ベツレヘム","Bethlehem"
"ペナース","Penarth"
"ベルビル","Belleville"
"ペンリス","Penrith"
"ホウマ","Houma"
"ポリルア","Porirua"
"ポンタプリズ","Pontapriz"
"マームズブリー","Malmesbury"
"マエシーコード","Maeshikodo"
"マガリスブルク","Magalisburg"
"マクレーン","McClain"
"マシロン","Massillon"
"マタハウ","Matahau"
"マリナ","Marina"
"マンリー","Manly"
"ミント","Minto"
"ムーレーズバーグ","Mooresburg"
"ムダンタン","Mudantan"
"モディアディスクルーフ","Modiadisukurufu"
"モトゥーチュア","Motuture"
"モトゥエカ","Motueka"
"モトゥツア","Mototua"
"モトオチュア","Motoochua"
"モトトゥア","Mototua"
"モリストン","Morriston"
"モンダベザン","Mondabesan"
"ヤドゥア","Yadua"
"ユニオンデール","Uniondale"
"ヨール","Youghal"
"ラーガン","Lurgan"
"ラウトア","Lautoa"
"ラウ諸島","Lau Island"
"ラザーグレン","Rutherglen"
"ラス・コンデス","Las Condes"
"ラヌメザン","Lanemezan"
"ラパハ","Rapaha"
"ラファエラ","Raffaella"
"ランドヴァリー","Randvalley"
"ランドウィック","Randwick"
"ランドー","Landau"
"ラントリサント","Llantrisant"
"ランビット・ファドレ","Lambit"
"リスル＝アダン","L'Isle-Adan"
"リンデン","Linden"
"ルフィノ","Rufino"
"ルラントリセント","Lelan Tricent"
"レッドヒル","Red Hill"
"レファラレ","Referrale"
"レホボス","Rehoboth"
"ロイヤル・タンブリッジ・ウェルズ","Royal Tunbridge Wells"
"ローデポールト","Rohdepoort"
"ロードポート","Rohdepoort"
"ロンゴテメ","Longoteme"
"奈良県葛城市","Katsuragi"
"福岡県太宰府市","Dazaifu"
"ǁKaras Region","Karas Region"
"イタリア","Italy"
"イングランド","England"
"オーストラリア","Australia"
"シドニー","Sydney"
"ニューサウスウェールズ州","New South Wales"
"パリ","Paris"
"フランス","France"
"ローマ","Rome"
"ロンドン","London"
"中華民国","Taiwan"
"山東省","Shandong"
"濰坊市","Weifang"
