"text","location"
"Africa del Sud-Ovest","Namibia"
"Albania","Albania"
"Algeria","Algeria"
"Arabia Saudita","Saudi Arabia"
"Argentina","Argentina"
"Australia","Australia"
"Belgio","Belgium"
"Brasile","Brazil"
"Burkina Faso","Burkina Faso"
"Camerun","Cameroon"
"Canada","Canada"
"Cecoslovacchia","Czechoslovakia"
"Costa d'Avorio","Ivory Coast"
"Croazia","Croatia"
"Danimarca","Denmark"
"Egitto","Egypt"
"Figi","Fiji"
"Filippine","Philippines"
"Francia","France"
"Francia/Brasile","France; Brazil"
"Galles","Wales"
"Georgia","Georgia"
"Germania","Germany"
"Germania occupata","Germany"
"Germania Ovest","Germany"
"Giappone","Japon"
"Guinea","Guinea"
"Hong Kong","Hong Kong"
"Impero russo","Russia"
"India","India"
"Indonesia","Indonesia"
"Inghilterra","England"
"Iran","Iran"
"Irlanda","Ireland"
"Israele","Israel"
"Italia","Italy"
"ItaliaItalia","Italy"
"Jugoslavia","Yugoslavia"
"Kenya","Kenya"
"Libano","Lebanon"
"Malaysia","Malaysia"
"Marocco","Morocco"
"Moldavia","Moldavia"
"Namibia","Namibia"
"Nigeria","Nigeria"
"Nuova Zelanda","New Zealand"
"Paesi Bassi","Netherlands"
"Papua Nuova Guinea","Papua New Guinea"
"Perù","Peru"
"Polonia","Poland"
"Portogallo","Portugal"
"RD del Congo","D.R. of the Congo"
"Regno Unito","Great Britain"
"Regno UnitoIsole Cayman(dal 2007)","Cayman Islands"
"Repubblica Ceca","Czechia"
"Rhodesia","Zimbabwe"
"Romania","Romania"
"Russia","Russia"
"Samoa","Samoa"
"Samoa Americane","American Samoa"
"Samoa Occ.","Samoa"
"Samoa Occidentali","Samoa"
"Scozia","Scotland"
"Senegal","Senegal"
"Singapore","Singapore"
"Spagna","Spain"
"Stati Uniti","U.S.A."
"Sudafrica","South Africa"
"SudafricaSudafrica","South Africa"
"Svezia","Switzerland"
"Svizzera","Sweden"
"Tonga","Tonga"
"Trinidad e Tobago","Trinidad and Tobago"
"Ucraina","Ukraine"
"Uganda","Uganda"
"Unione Sovietica","Soviet Union"
"Uruguay","Uruguay"
"Venezuela","Venezuela"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
